assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
10,0,0,8910,0,6,185,185,185,22013,11,4,0,0,True,False,False,False,6605,0,0,0,0,2,0,0,1,475,20443,5810,9698,4,0,0,0,4046,648,11045,0,0,44,43,38,7,5,14,5,4,100,34,4,32130,0,0,1069,375,41,67,261,5,0,7640,1751,1599,0,1,4,0,48,4,6,24,False,0,0,6,0,0,0,0,1,0.357836265089724,4,0.2023432285197979,11,1,0,0,0.0,375.2951049804688,0,0,49,0,0,0,0,0,0,0.0,0,2,1536.52618209659,0.0,0.0,7,0,0,0.0,0,0,1.0909090909090908,0,0,0,0,0.0,0,0,1,0,3,17,0.0,0,0,8.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,14,25,0,1,20,0,5,1,12,0,0,3,0,0,0.0875181308104809,0,1,0,0,3,1,0,1,0,-0.2233678102493286,1.9016121829839123,6,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-39.20531957210291,-0.3123929846382702,-46.39035821878312,276.5068405279489,320.5933004850248,872.4745569716089
3,0,0,6362,0,9,97,97,97,7969,5,5,0,0,False,True,False,False,4575,0,0,0,0,1,0,0,1,454,9431,3386,4116,0,0,0,0,3838,606,4872,0,0,28,34,11,3,2,4,4,14,100,18,0,19123,0,0,151,183,33,48,66,2,0,5854,868,525,0,0,2,0,35,5,5,15,False,0,0,0,0,0,0,0,1,0.6871427489300779,5,0.1560850626786451,5,0,0,0,0.0,183.16131591796875,0,0,22,0,0,0,0,0,0,0.0,0,0,1166.2135193031074,0.0,0.0,3,0,0,0.0,0,0,0.8,2,0,0,0,0.0,0,0,0,0,4,18,0.0,0,0,8.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,13,0,0,10,0,2,0,4,0,0,3,0,0,0.1299100744867565,0,1,0,0,1,0,0,0,0,-0.168570339679718,1.8184178257645984,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-71.71928520429144,-0.411588437327354,-46.97253040998428,251.32618954301557,250.1428727856994,489.4815490915557
14,0,1,7028,0,8,495,2135,495,6435,4,5,0,0,False,False,True,False,5350,0,1,0,0,1,4,0,1,408,13782,3764,3035,0,0,0,0,5868,909,6292,0,0,30,28,23,5,4,3,4,4,200,20,0,26391,0,0,0,0,40,60,80,0,0,6740,497,564,0,1,3,0,53,6,5,20,True,1,0,0,0,0,0,0,0,0.7444198542514734,5,0.1526968442566868,4,6,0,2,1.0,0.0,0,0,26,0,0,0,0,0,1,779.9938529801641,0,0,1294.4783282386943,0.0,0.0,9,0,0,0.0,0,1,3.75,4,0,0,0,0.0,0,0,0,0,5,16,1.0,0,0,6.0,2,2.0,0,0.0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,33,12,0,0,9,0,4,0,15,0,0,10,0,0,0.0885060529751115,0,1,0,0,3,1,10,1,0,0.2530127763748169,2.472756808406816,5,4,1,724.8328531409675,0.0,0.0,0.0,0.0,0.0,20.495239956161186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.953277373673046,0.2317535901958196,83.01413600814257,304.94137397965943,239.6795629805166,458.5013028434095
9,0,0,8250,0,8,0,2577,0,10931,4,4,0,0,False,False,False,False,6350,0,0,1,1,4,4,2,1,953,23811,7260,5566,0,0,0,0,5328,928,8933,0,0,34,44,39,5,5,14,3,4,200,30,0,35063,0,0,501,451,45,62,132,5,0,5923,1426,484,0,0,5,0,64,6,9,26,False,0,0,0,0,0,300,0,0,0.4128287751619121,4,0.1375099349623723,4,2,0,1,0.0,451.041748046875,0,0,33,0,0,0,0,0,0,0.0,0,0,1442.6012831605424,0.0,0.0,10,0,0,0.0,0,0,3.25,1,0,0,0,0.0,0,1,0,0,4,20,0.0,0,0,32.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,16,21,0,1,22,0,0,0,13,0,0,7,0,0,0.1432954577041567,0,0,0,0,0,0,0,1,0,0.1344138383865356,2.663400328486832,9,6,0,584.5631262982146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.367111046925982,-0.1247746013407423,-17.26048651880269,299.33426861644085,399.9025972970792,623.1659506294475
19,0,0,11687,0,8,354,11086,354,28309,6,4,0,0,False,False,False,False,9950,0,0,0,1,6,4,5,1,481,36543,13961,10691,1,0,0,0,5812,1807,11293,0,0,45,67,45,7,6,14,5,4,200,46,0,51996,0,1,1673,415,32,83,202,4,0,9641,2444,492,0,0,4,0,72,6,3,33,True,1,0,0,2,0,150,0,0,0.3642026341515405,4,0.2210034108155557,5,29,0,1,0.0,415.7322692871094,0,0,57,1,0,0,0,0,0,0.0,0,1,1717.4497194492387,0.0,0.0,16,0,0,0.0,1,0,4.166666666666667,4,0,1,1,0.0,0,0,0,0,5,15,0.0,0,0,15.0,3,3.0,0,0.0,0,0,0,0,0,1,0,0,20,0,0,0,1,0,0,150,29,0,0,29,0,8,0,25,0,0,9,1,2,0.1487502949597686,0,1,0,0,2,0,5,1,0,0.9066208600997924,2.547440257420144,3,3,0,777.0995924791108,0.0,0.0,0.0,1249.9066146114487,0.0,28.69536977198618,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.249003412914717,0.3842907262587299,49.01453535827256,361.58263788889593,636.2806361227499,785.2107603082923
7,0,0,7151,0,10,241,2194,241,22001,9,7,0,0,False,False,False,False,6350,0,0,1,0,2,0,0,1,367,10470,7752,12875,0,0,0,0,4367,1263,8031,0,0,41,36,23,7,5,4,4,14,200,42,0,24075,0,0,671,229,41,67,233,3,0,9237,1045,368,0,0,8,0,66,8,8,25,False,0,0,0,0,0,150,0,0,0.3668757268021567,7,0.1829445484392979,9,18,0,0,0.0,229.03616333007807,0,0,48,0,0,0,0,0,0,0.0,0,0,1617.7924479528006,0.0,0.0,9,0,0,0.0,0,0,1.0,1,0,0,1,0.0,0,0,0,0,5,20,0.0,0,0,20.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,5,0,95,28,0,0,18,0,0,0,9,0,0,5,0,0,0.1356772624158827,0,0,0,0,1,0,0,0,0,0.1085305213928222,2.457852942747256,8,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-96.3164342849906,-0.5563136366094952,-165.55893825498578,257.869914356388,373.17518743764936,789.0010870153601
9,0,1,9953,0,15,226,2704,226,9438,2,8,0,0,False,False,False,False,6500,0,1,0,0,2,0,0,1,674,11665,4660,5026,0,0,0,0,4643,1180,6343,0,0,41,24,21,5,5,14,4,4,200,24,0,23581,0,0,1025,187,30,42,42,4,0,7272,1148,353,0,1,1,0,59,11,6,25,True,0,0,0,1,0,0,0,0,0.7330049976444318,8,0.1279147174767463,2,2,0,2,0.0,187.4209442138672,0,0,26,0,0,0,0,0,1,770.5981649409133,1,0,1503.487284369533,0.0,0.0,9,0,0,0.0,0,0,5.5,1,0,0,0,0.0,0,0,0,0,4,13,0.0,0,0,19.0,4,2.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,12,18,0,0,17,0,0,0,11,0,0,4,0,1,0.102890623435407,0,1,0,0,0,1,0,0,0,0.0191543102264404,2.392607544832055,6,3,0,846.9399462164071,0.0,0.0,0.0,1293.3059453146918,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,47.13042852884132,0.1596288857877775,114.29428222404871,286.5338499890607,278.91157069269434,467.832357022529
18,0,0,9498,0,9,0,432,0,21588,8,4,0,0,False,True,False,False,8025,0,0,2,0,4,36,0,1,419,22883,8067,6002,0,0,0,0,5465,1380,16034,0,0,57,54,44,4,8,4,7,14,200,53,0,34731,0,0,975,0,45,216,112,1,0,6382,1455,670,0,0,10,0,47,5,4,20,False,0,0,0,0,0,0,0,0,0.7309264869884394,4,0.1843115568317244,8,27,0,0,0.0,0.0,0,0,48,0,0,0,0,0,0,0.0,0,0,1561.728352836926,0.0,1.0,16,0,0,0.0,0,0,2.75,4,0,0,2,1.0,0,1,0,0,12,18,0.0,0,0,12.75,0,1.0,0,0.0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,140,36,0,0,16,0,5,0,22,0,1,13,0,0,0.1490976732543511,0,2,0,0,3,0,0,1,0,-0.3819108009338379,1.8191107778132007,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.223873686062836,0.0768379467415164,45.6417403644608,325.90815110414223,418.8820666613772,872.3796283298075
10,0,0,10582,0,16,0,1349,0,18735,10,13,0,0,False,False,False,False,7310,0,0,3,0,1,0,0,1,407,28077,7330,7241,0,0,0,0,3794,950,16937,0,0,47,34,32,8,5,14,5,4,100,35,0,38349,0,0,2071,361,48,93,251,4,0,6477,1429,3158,0,0,11,0,91,13,10,53,False,0,0,0,0,0,0,0,0,0.6143195893500097,13,0.1855879464673538,10,15,0,1,0.0,361.2253723144531,0,0,45,0,0,0,0,0,0,0.0,0,0,1922.0608419266323,0.0,0.0,10,0,0,0.0,0,0,1.1,2,0,0,0,0.0,0,0,0,0,5,19,0.0,0,0,4.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,83,25,0,0,40,0,2,0,11,0,0,4,0,0,0.1100282421542968,0,1,0,0,0,0,0,2,0,-0.0426017642021179,2.842277081356303,10,5,0,572.8623924079409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.31896586755717,-0.3745979233822211,-113.19100584866116,243.3325677303678,303.08093650983204,853.39650245193
6,0,0,7247,0,7,30,4204,30,10800,5,3,0,0,True,False,True,False,6300,0,0,2,0,2,4,0,1,636,10186,4797,4864,0,0,0,0,4956,1024,8162,0,0,39,31,26,4,14,4,4,14,200,35,0,25134,0,0,707,0,30,120,66,1,0,9990,513,1997,0,1,10,0,57,4,4,27,False,0,0,0,0,0,0,0,0,0.1888520116234708,3,0.1758912437757819,5,4,0,0,0.0,0.0,0,0,37,0,0,0,0,0,1,802.0206668985586,0,1,1634.8963606262605,0.0,0.0,4,0,0,0.0,0,1,1.6,1,0,0,1,0.0,0,0,0,0,8,14,0.0,0,0,13.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,26,21,0,0,23,0,0,0,8,0,1,7,0,0,0.1113417170858989,0,0,0,0,1,1,0,0,0,-0.2190258502960205,2.109559116725787,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.02025154744335,-0.2201974441132764,-54.20527082588488,247.098231869115,232.5285009836199,551.3744000596441
