assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
11,0,1,8706,0,7,699,2246,699,8359,2,4,0,0,True,False,False,False,6175,0,1,0,0,1,0,0,1,700,8431,1944,1788,0,0,0,0,8355,1559,5856,0,0,48,24,15,7,4,14,1,4,100,28,0,23796,0,0,678,470,42,69,48,5,0,7009,666,681,1,3,3,0,51,5,7,23,True,0,0,0,1,0,0,0,1,0.6683527191456268,4,0.1305967080808234,2,4,0,2,1.0,470.3029174804688,0,0,34,0,0,0,0,0,0,0.0,0,1,1393.6392227138413,0.0,0.0,10,0,0,0.0,0,0,6.0,2,0,0,0,0.0,0,0,0,0,4,16,0.0,0,0,14.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,23,12,0,0,17,0,0,0,12,0,0,5,0,1,0.0661893323111124,0,2,0,0,0,3,5,1,0,0.3278670310974121,2.234337405262848,7,7,0,887.373709246439,0.0,0.0,0.0,1278.2421657631123,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,91.70235590179098,0.3874747432470041,80.29337735062919,306.4494691591306,179.5299643711119,358.4571902527285
11,0,1,8041,0,13,203,238,203,24780,10,11,0,0,True,False,False,False,6775,0,0,0,0,2,0,0,1,407,6837,4148,5970,0,0,0,0,5730,2563,10867,0,0,53,31,29,9,7,14,6,4,200,48,0,18003,519,0,845,812,40,65,219,4,0,5435,932,3891,0,0,4,0,67,11,14,29,True,0,0,0,0,0,0,0,0,0.7638198316032212,11,0.1817754380239364,10,2,0,0,0.0,1331.406494140625,0,0,64,0,0,0,0,0,1,798.6143112766538,1,0,1661.8206749105982,0.0,0.0,11,0,0,0.0,0,0,1.3,3,0,0,1,0.0,0,0,1,0,6,20,0.0,0,0,6.0,7,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,29,0,0,18,0,0,0,13,0,0,9,0,0,0.0718360493010759,0,1,0,0,2,0,0,1,0,-0.3251148462295532,2.444984849830203,14,12,0,0.0,0.0,0.0,0.0,0.0,0.0,42.34851538143676,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-158.06759656190434,-0.2888398292588475,-62.17277324796694,275.4087771983112,275.98645685682885,748.4562075669887
14,0,0,11072,0,9,319,669,319,21391,4,4,0,0,False,False,False,False,7725,0,0,2,0,1,0,0,1,775,7469,3273,2670,0,0,0,0,5630,1706,13498,0,0,40,28,20,10,4,14,8,4,100,42,0,19903,0,0,185,0,37,155,100,1,0,6803,567,756,0,1,11,0,73,7,10,33,False,1,0,0,0,0,0,0,1,0.6238868068826889,4,0.1206893526110128,4,4,0,0,1.0,0.0,0,0,42,0,0,0,0,0,0,0.0,0,2,1838.54117575054,0.0,0.0,14,0,0,0.0,0,0,3.75,0,0,0,1,0.0,0,0,0,0,2,19,1.0,0,0,26.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,21,13,0,0,29,0,4,0,15,0,0,8,0,0,0.0748841711275651,0,2,0,0,3,1,5,0,0,-0.2873031497001648,2.4109871378799688,10,6,0,0.0,0.0,0.0,0.0,0.0,0.0,46.221396283121976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-47.32012594957757,-0.1305382784815933,-8.909237506368743,257.9762728492488,181.02395768434957,552.3074562556213
16,0,0,11008,0,19,214,4448,214,25187,4,13,0,0,False,False,False,False,9175,0,0,0,0,1,0,0,1,387,6437,3962,8005,4,0,0,0,8738,2590,11851,0,0,56,39,26,9,6,14,5,4,100,38,0,23525,0,0,4771,399,37,63,74,5,0,8349,1134,750,0,1,2,0,100,13,14,45,True,0,0,0,2,0,500,0,0,0.5299637095190701,13,0.1439296322896993,4,14,0,2,0.0,399.07232666015625,0,0,47,0,0,0,0,0,1,988.2853436936904,0,1,1842.9206584959743,0.0,0.0,12,0,0,0.0,0,0,4.25,1,0,0,0,0.0,0,0,0,0,6,15,0.0,0,0,26.0,3,2.0,0,0.0,0,0,0,0,0,0,0,0,15,0,0,0,1,2,0,75,18,0,0,30,0,2,0,17,0,0,5,0,2,0.0756228550937911,0,2,0,0,1,1,5,0,0,0.317075252532959,3.285735611408754,14,5,0,884.5891421533222,0.0,0.0,0.0,1334.364014993119,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,44.2124296693796,0.1302280697183493,72.2114646588247,301.5105384154083,250.23323596380823,670.9024581715062
5,0,0,2578,0,4,72,72,72,2662,1,1,0,0,False,False,False,False,2000,0,0,0,0,1,0,0,1,481,1587,650,1570,0,0,0,0,3177,1051,2120,0,0,13,7,7,1,3,14,2,4,200,18,0,7840,0,0,112,138,16,20,14,1,0,3075,286,158,0,0,0,0,9,2,2,3,False,0,0,0,0,0,0,0,0,0.2945435028615247,1,0.1855023678969563,1,7,0,0,0.0,138.40158081054688,0,0,19,0,0,0,0,0,0,0.0,0,0,561.1931734851097,0.0,0.0,5,0,0,0.0,0,0,6.0,1,0,0,0,0.0,0,0,0,0,5,16,0.0,0,0,15.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,37,7,0,0,2,0,0,0,6,0,0,6,0,0,0.1419878183231013,0,0,0,0,0,0,0,0,0,0.8701835870742798,1.026185963485107,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,68.53255138717483,0.3207451702987902,26.621849134799582,314.6510120631132,212.5471328513316,411.4091384365816
5,0,0,7140,0,15,0,2038,0,16979,7,9,0,0,False,False,False,False,5475,0,0,2,0,2,0,0,1,257,6935,2282,5984,0,0,0,0,7075,1132,9496,0,0,29,21,19,6,4,14,3,4,200,30,0,22014,324,0,509,139,28,162,106,4,0,8003,536,904,0,0,10,0,48,11,4,23,False,0,0,0,0,0,0,0,0,0.653000797591229,9,0.1951589379775892,7,20,0,0,0.0,463.62158203125,0,0,34,0,0,0,0,0,1,592.7973105152134,0,0,1451.6954310919311,0.0,0.0,6,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,1,0,3,12,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,105,13,0,1,14,0,0,0,7,0,0,2,0,0,0.0665401661512788,0,1,0,0,0,0,5,0,0,-0.2278959155082702,2.006082055116816,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-231.53616991628775,-0.4959718027482066,-90.3495300672983,231.78415581766188,163.2573850712847,677.2494966526762
3,0,0,3379,0,2,0,0,0,8092,3,0,0,0,False,False,False,False,3150,0,0,0,0,0,0,0,0,393,4188,576,1763,0,0,0,0,1762,999,6726,0,0,13,10,12,5,5,4,3,14,100,15,0,9627,0,0,0,0,16,116,42,0,0,3677,470,630,0,0,4,0,18,0,1,9,False,0,0,0,0,0,0,0,0,0.0,0,0.1334467060177643,3,1,0,0,0.0,0.0,0,0,13,0,0,0,0,0,0,0.0,0,0,1158.3503306167788,0.0,0.0,2,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,4,12,0.0,0,0,13.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,9,0,0,9,0,0,0,3,0,0,2,0,0,0.0463192763518631,0,1,0,0,1,0,0,0,0,-0.5537608861923218,0.9409144148810612,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-107.06605482122488,-0.6215736128953548,-171.19173255159563,195.5366990566637,105.978300998658,472.3959458004696
10,0,0,10914,0,9,516,1235,516,15023,1,6,0,0,True,False,False,False,6225,0,1,0,1,2,0,2,1,1464,7932,2818,6257,4,0,0,0,6906,1854,7610,0,0,41,33,22,12,4,14,8,4,200,34,0,21616,0,4,386,0,40,160,40,1,0,6777,461,110,1,3,3,0,52,7,5,27,True,0,0,0,1,0,0,1,0,0.5091059892432933,6,0.1289597580208496,1,1,0,0,0.0,0.0,0,0,33,1,0,0,0,0,0,0.0,0,0,1582.0476738,0.0,0.0,10,0,0,0.0,0,0,12.0,0,0,0,2,0.0,0,0,0,0,2,15,0.0,0,0,16.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,15,0,0,21,0,2,0,12,0,0,4,0,1,0.0601786871445294,0,2,0,0,0,3,5,1,0,0.0147255659103393,1.973935092155228,5,3,0,0.0,0.0,0.0,0.0,1354.2568202,0.0,27.688621099999864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.11494747118662,-0.0379255322033899,37.28079815593228,273.3672361220345,194.7096823322038,530.1610146711876
24,0,0,5747,0,5,238,622,238,13546,6,1,0,0,True,False,False,False,5900,0,0,0,0,1,0,0,1,338,3240,2080,3770,0,0,0,0,6030,2771,10120,0,0,35,19,23,5,5,14,4,4,100,41,0,13484,760,0,0,0,19,115,87,0,0,4212,618,68,0,1,0,0,14,2,2,9,True,1,0,0,0,0,0,0,0,0.1233472265528751,1,0.1930216499868513,6,14,0,1,0.0,760.52294921875,0,0,47,0,0,0,0,0,1,875.9524480942288,0,0,1140.9823032264148,0.0,1.0,20,0,0,0.0,0,0,4.166666666666667,2,0,0,0,0.0,0,1,0,0,5,10,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,73,14,0,0,8,0,6,1,25,0,1,16,0,0,0.0780867766247552,0,0,0,0,1,1,0,0,0,0.1723502874374389,0.742492657392889,2,2,0,1008.1762184588996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,106.69753567233208,1.0517253393034212,61.84144995104116,326.87623545550326,287.64688029948564,733.9991142998575
18,0,0,13652,0,17,951,4376,951,43291,9,12,0,0,False,False,False,False,8400,0,0,1,0,2,0,0,1,728,16809,5806,7830,0,0,0,0,8431,2338,18671,0,0,67,44,43,15,8,14,5,4,100,61,0,33438,0,0,2924,1084,43,102,251,8,0,8197,1079,4107,0,2,5,0,90,14,11,51,True,1,0,0,2,0,150,0,0,0.7734797298555817,12,0.1849292798513745,9,3,0,2,0.0,1084.58349609375,0,0,66,0,0,0,0,0,1,1124.2740787062733,0,0,2096.57000045618,0.0,0.0,15,0,0,0.0,0,0,2.2222222222222223,0,0,0,0,0.0,0,1,1,0,4,14,0.0,0,1,19.0,4,2.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,2,0,22,25,0,0,38,0,11,0,20,0,0,5,0,2,0.0795303921609235,0,1,0,0,2,2,0,1,0,-0.0850181579589843,2.5874421409141126,11,4,1,1011.8653808723684,0.0,0.0,0.0,1466.343761737134,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,55.147216632329446,0.0,49.2232551155198,284.6649526942299,264.0026328143431,875.9449956836221
