assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
19,0,1,9684,0,10,1256,1820,1256,4154,3,7,0,0,False,False,False,False,5970,0,1,0,0,2,0,0,1,668,9120,2427,1373,0,0,0,0,3425,559,5548,0,0,32,47,72,7,4,7,3,4,100,20,0,12546,5025,0,974,634,4,168,55,2,0,0,0,294,0,6,3,0,44,7,1,26,True,0,0,0,0,0,0,0,0,0.5469437720858374,7,0.0779663664035026,3,4,0,1,0.0,5659.8544921875,0,0,4,0,0,0,0,0,0,0.0,1,0,1394.19298000184,0.0,0.0,2,0,0,0.0,0,0,7.0,6,0,0,1,0.0,0,0,0,0,7,0,1.0,0,0,0.0,1,3.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,2,0,22,28,0,0,18,0,2,0,21,0,0,8,0,1,0.0451750041356852,0,0,0,0,4,6,0,0,0,0.0418486595153808,1.9250587727966333,1,0,0,1096.423506638556,0.0,0.0,0.0,1240.978028102193,0.0,10.889098900530826,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,118.77839178316724,0.6024990887551962,189.4429277643124,333.3111030292139,128.54748415084077,310.58828025330365
7,0,0,9026,0,15,238,1086,238,6503,9,12,0,0,True,False,False,False,7375,0,0,1,0,0,0,0,0,395,17051,6756,11487,0,0,0,0,1889,529,5366,0,0,57,70,75,6,6,14,4,4,100,29,0,19886,3313,0,268,0,24,272,218,1,0,945,930,1388,0,0,5,0,103,13,14,43,False,0,0,0,1,0,0,0,1,0.3215941282329587,12,0.1309704016133051,9,2,0,0,0.0,3313.627197265625,0,0,9,0,0,0,0,0,0,0.0,0,0,1949.4232145226288,0.0,0.0,3,0,0,0.0,0,0,0.7777777777777778,1,0,0,0,0.0,0,0,0,0,21,6,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,1,4,0,19,52,0,0,31,0,2,0,7,0,0,3,0,1,0.0922941611559597,0,1,0,0,1,0,0,0,0,0.1743350028991699,3.1849036586415176,14,8,1,0.0,0.0,0.0,0.0,1433.7648713592591,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-17.20508904897453,-0.4616750192032521,-67.52766614212901,233.48444637839137,252.8440188503144,561.4583800203817
22,0,0,9916,0,11,1317,1639,1317,5798,4,8,1,0,False,False,False,False,6200,0,1,0,1,2,0,2,2,565,9145,4881,2422,0,0,0,0,3691,1236,6810,0,0,35,50,46,7,6,14,4,4,200,29,0,17596,5883,0,658,0,31,157,69,1,0,4759,658,422,0,5,1,0,53,8,8,24,True,1,0,0,1,0,375,0,0,0.7178762166394007,8,0.0998310693924503,4,0,0,1,0.0,5883.79443359375,0,0,6,0,0,0,0,0,1,740.9017038157859,0,0,1476.474508419691,0.0,0.0,3,0,0,0.0,0,0,6.0,5,0,0,1,0.0,0,0,0,0,3,15,0.0,0,0,4.0,3,2.0,0,0.0,0,0,1,1,0,1,0,0,16,0,0,0,0,0,0,5,46,0,0,16,0,0,0,24,0,0,3,0,1,0.0748882262339989,0,2,0,0,0,5,0,1,0,-0.2479642629623413,2.161769914614601,8,7,0,1403.7107199564375,0.0,0.0,0.0,1313.8124805741147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.4939402846651,0.2844613961195557,116.66980975132064,333.91704170205566,275.31799410142713,392.353539933473
1,0,0,6556,0,6,36,36,36,6192,5,2,0,0,False,False,False,False,4450,0,0,2,0,0,0,0,0,515,8950,4145,4023,0,0,0,0,1337,648,6572,0,0,40,34,41,6,2,7,2,4,200,26,0,10288,1952,0,863,342,17,165,132,2,0,0,0,375,0,0,10,0,36,2,6,14,False,0,0,0,0,0,0,0,0,0.7208277702398722,2,0.0964894791333447,5,0,0,0,0.0,2294.3408203125,0,0,2,0,0,0,0,0,0,0.0,0,0,1353.3540922919717,0.0,0.0,0,0,0,0.0,0,0,0.2,0,0,0,0,0.0,0,0,0,0,15,2,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,42,0,0,12,0,0,0,1,0,0,0,0,0,0.1121993621810438,0,0,0,0,0,0,0,0,0,-0.1871837377548217,1.5963062413103042,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-110.6140668230261,-0.8866859063970028,-125.77639582241486,209.61254827225147,212.49427746804173,486.3915539540759
26,0,0,17001,0,13,1499,4362,1499,15014,7,10,0,0,False,False,True,False,10150,0,3,1,0,1,0,0,1,730,14974,4109,17718,0,0,0,0,3963,1021,8268,0,0,65,89,105,13,5,14,4,4,100,47,0,21483,15813,0,3066,162,16,364,255,2,0,2545,637,834,0,8,8,0,97,10,5,44,True,1,0,0,2,0,0,0,1,0.8683019601985182,10,0.1439723759675925,7,4,0,1,0.0,15976.689453125,0,0,12,0,0,0,0,0,1,652.5370131649926,2,2,2369.065795310996,0.0,0.0,4,0,0,0.0,0,1,3.857142857142857,5,0,0,0,0.0,0,1,0,0,10,3,0.0,0,1,0.0,6,2.0,0,0.0,0,0,0,0,0,0,0,0,22,0,0,0,1,5,0,24,75,0,0,31,0,8,0,27,0,0,3,0,2,0.0381680649048956,0,1,0,0,5,8,5,0,0,0.1058079004287719,2.4711785008405363,5,1,0,1861.083463946715,0.0,0.0,0.0,1783.1022255151704,0.0,10.033655485553028,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,38.876083636972055,0.2785908273659235,75.47278777731384,289.253258122383,146.08289929514973,679.280416434676
4,0,0,5067,0,5,804,804,804,4120,3,0,0,0,False,False,False,False,3525,0,0,1,0,1,0,0,1,602,7175,2367,3097,0,0,0,0,3249,271,3517,0,0,33,31,50,4,3,4,2,14,200,11,0,10628,2188,0,0,0,7,180,53,0,0,204,204,502,0,1,5,0,12,2,1,9,False,0,0,0,0,0,0,0,0,0.0,1,0.1141920886718907,3,5,0,0,0.0,2188.063232421875,0,0,2,0,0,0,0,0,0,0.0,0,0,1037.5141715,0.0,0.0,1,0,0,0.0,0,0,1.6666666666666667,0,0,0,0,0.0,0,0,0,0,7,6,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,32,30,0,1,10,0,0,0,5,0,0,4,1,0,0.0967003916081602,0,0,0,0,0,1,0,0,0,-0.7121257781982422,0.7134299390918496,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.24939698667046,-0.2891526768894838,-39.03561138008031,246.2424196390844,164.4122120793605,411.57992028449127
5,0,0,4411,0,5,336,1426,336,2666,2,2,0,0,False,False,False,False,3310,0,0,0,0,0,0,0,0,515,6134,1924,1733,0,0,0,0,4526,732,2588,0,0,33,14,23,2,4,14,2,4,200,10,0,15525,822,0,128,0,22,120,24,1,0,4864,500,311,0,0,0,0,24,3,2,10,True,0,0,0,0,0,0,0,0,0.4248289899462464,2,0.1309657840187129,2,0,0,2,0.0,822.3681640625,0,0,2,0,0,0,0,0,1,892.0301528,0,0,917.7584537,0.0,0.0,2,0,0,0.0,0,0,2.5,1,0,0,0,0.0,0,0,0,0,9,13,0.0,0,0,2.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,25,0,0,8,0,4,0,5,0,0,4,0,0,0.0765203999854397,0,0,0,0,2,0,0,0,0,0.0700913667678833,1.5965098581158097,2,2,0,376.0997547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.741125199073718,0.1961300375652426,46.87507897809299,253.792268609424,206.39417619782367,302.89015467992306
14,0,0,8724,0,9,970,2699,970,8268,4,6,0,0,False,False,False,False,6725,0,2,0,0,0,0,0,0,309,8331,3510,2823,0,0,0,0,2998,865,7109,0,0,61,44,86,5,3,4,7,14,100,25,0,12159,4082,0,1612,614,17,160,44,5,0,829,829,867,0,7,4,0,73,7,6,31,True,1,0,0,1,0,0,0,0,0.2768670182723532,6,0.1317357714550983,4,13,0,3,0.0,4696.943359375,0,0,5,0,0,0,0,0,0,0.0,0,2,1634.8963606262605,0.0,1.0,1,0,0,0.0,0,0,3.5,2,0,0,0,0.0,0,0,0,0,28,7,0.0,0,0,0.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,70,47,0,0,25,1,2,0,14,0,4,8,0,1,0.081019829313576,0,2,0,0,0,7,0,0,0,0.2804521322250366,2.701189390180973,6,6,0,912.975488636342,0.0,0.0,0.0,1390.2857711454133,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,30.02025154744335,0.2201974441132764,54.20527082588488,277.1184834165584,191.0212827682673,396.3920989779164
14,0,1,12575,0,16,916,1738,916,4674,2,12,0,0,False,False,False,False,8350,0,1,3,0,1,0,0,1,1002,12282,3511,4321,0,0,0,0,2109,449,3900,0,0,59,83,115,8,3,14,2,4,200,18,0,14709,5660,0,342,0,21,167,76,1,0,318,318,2045,1,4,8,0,92,14,16,44,False,1,0,0,1,0,500,0,0,0.6854744941429817,12,0.0992185635017257,2,4,0,1,0.0,5660.1357421875,0,0,8,0,0,0,0,0,0,0.0,0,1,2077.997062961573,0.0,0.0,2,0,0,0.0,0,0,7.5,0,0,0,0,0.0,0,0,0,0,9,0,0.0,0,0,0.0,0,3.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,23,28,0,0,30,0,4,0,15,0,0,4,0,1,0.043634865822018,0,0,0,0,2,4,0,0,0,-0.1348397731781005,2.67819134197626,18,9,1,684.128805063293,0.0,0.0,0.0,1691.9768005896883,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.31191507034725,0.1732437482307727,55.98660463657806,277.2766190433518,123.55166644657945,296.4489271808906
10,0,0,6410,0,8,135,248,135,3188,1,5,0,0,False,False,False,False,3705,0,0,0,0,0,0,0,0,642,3828,1417,2803,0,0,0,0,3545,502,3655,0,0,25,26,49,3,4,7,2,4,200,17,0,12120,2855,0,1026,412,31,83,14,3,0,4746,0,309,0,1,1,0,27,6,6,12,True,0,0,0,0,0,0,0,0,0.6280173151278337,5,0.1085863698784053,1,0,0,0,0.0,3267.552734375,0,0,3,0,0,0,0,0,0,0.0,0,0,1142.4553714,0.0,0.0,2,0,0,0.0,0,0,10.0,1,0,0,0,0.0,0,0,0,0,6,14,0.0,0,0,21.0,4,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,1,3,0,7,23,0,0,7,0,0,0,10,0,0,5,0,0,0.0371295469294081,0,1,0,0,0,1,0,0,0,-0.3135198950767517,1.4302179592512494,6,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4726661658024044,0.1575553886008014,54.56668291874425,264.74557131221343,100.83544870451294,355.4449566834081
