assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
3,0,0,4956,0,5,1944,2077,1944,4235,3,2,0,0,False,False,False,False,4225,0,0,0,0,1,0,0,1,803,20303,5308,2273,0,0,0,0,2653,320,3070,0,0,14,16,61,4,3,3,1,4,200,18,0,22956,435,0,0,0,19,123,76,0,0,0,0,815,1,1,2,0,17,3,2,12,False,0,0,0,0,0,0,0,0,0.6829999771958707,2,0.1200195856247747,3,6,0,1,0.0,435.9482727050781,0,0,8,0,0,0,0,0,1,790.8170862256419,0,0,1221.7945075915973,0.0,0.0,3,0,0,0.0,0,0,1.3333333333333333,1,0,0,0,0.0,0,0,0,0,2,9,0.0,0,0,5.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,13,0,0,10,0,0,0,4,0,0,4,0,0,0.1513360474287244,0,1,0,0,0,1,5,0,0,-0.6213189363479614,0.8608298034730218,2,2,0,382.8102933238043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.12593249899823,-0.3437566607071302,-72.04157446533715,234.14739403594243,276.3803552085327,302.4567533278879
8,0,0,8480,0,12,0,436,0,7205,9,9,0,0,False,False,False,False,6585,0,0,1,0,1,0,0,1,451,32168,12489,6532,4,0,0,0,2398,393,8648,0,0,45,22,129,9,6,3,5,4,100,43,4,34585,463,0,181,0,33,171,203,1,0,18,0,227,0,0,7,0,91,10,10,39,False,0,0,1,0,0,0,0,0,0.5102758676380535,9,0.1356597205920818,9,8,0,1,0.0,463.2389831542969,0,0,18,0,0,0,0,0,0,0.0,0,1,1813.931468693631,0.0,0.0,4,0,0,0.0,0,0,1.0,3,0,0,0,0.0,0,1,0,0,1,4,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,45,21,0,0,30,0,2,0,9,0,0,3,0,0,0.1376497104870424,0,0,0,0,0,0,0,1,0,0.129250168800354,3.021555509343472,10,5,0,399.38735162238856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.17768999428262,-0.4630825444607103,-70.0577735119846,237.52826798374008,426.13517287766655,509.62234017901176
9,0,0,8790,0,14,0,486,0,6707,6,11,0,0,False,False,False,False,7525,0,0,1,1,4,0,2,1,336,29993,18903,8028,0,0,0,0,2420,980,4069,0,0,43,30,155,13,5,3,4,4,200,60,0,32414,1392,0,486,0,18,185,151,1,0,0,0,328,0,0,7,0,76,11,8,43,False,0,0,0,0,0,0,0,0,0.6233623431598843,11,0.104028553819566,6,13,0,0,0.0,1392.943603515625,0,0,27,0,0,0,0,0,0,0.0,0,1,1842.9206584959743,0.0,0.0,6,0,0,0.0,0,0,2.1666666666666665,1,0,0,1,0.0,0,0,0,0,5,0,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,67,29,0,2,31,0,0,0,13,0,0,4,0,0,0.1870250320806941,0,0,0,0,0,0,0,0,0,-0.2407419681549072,2.4947212029950463,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.2124296693796,-0.1302280697183493,-72.2114646588247,257.2981087460287,647.3637345699145,404.5534985800522
8,0,0,8026,0,7,257,1200,257,9062,11,3,0,0,False,False,False,False,6810,0,0,3,0,3,0,0,1,244,30300,9398,5718,0,0,0,0,5153,1862,11072,0,0,30,19,97,4,4,14,4,4,100,38,0,36014,646,0,476,0,26,212,241,1,0,560,560,709,0,0,11,0,49,3,11,22,False,0,0,0,0,0,500,0,0,0.0,3,0.1896232335325336,11,9,0,1,1.0,646.0105590820312,0,0,16,0,0,0,0,0,0,0.0,0,0,1494.4963511252645,0.0,0.0,6,0,0,0.0,0,0,1.0,3,0,0,2,0.0,0,1,0,0,4,4,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,48,16,0,0,19,0,0,0,11,0,0,7,0,0,0.1726508821506009,0,0,0,0,1,0,0,0,0,-0.4049288034439087,1.9949594748203043,11,8,1,597.0626594493824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-63.19185719583219,-0.1605892177784808,-39.50494757350627,290.8672207012733,474.58128583985535,702.5778277808535
6,0,0,7089,0,8,164,335,164,6521,7,5,0,0,False,False,False,False,5685,0,0,1,0,1,0,0,1,505,31448,9654,3641,0,0,0,0,2268,911,9038,0,0,32,23,100,18,4,14,4,4,100,32,0,34439,820,0,652,0,23,178,177,1,0,722,722,374,0,0,8,0,58,6,5,27,False,0,0,0,0,0,0,0,1,0.167447547218498,5,0.1442072679552462,7,0,0,0,0.0,820.777587890625,0,0,14,0,0,0,0,0,0,0.0,0,0,1503.487284369533,0.0,1.0,4,0,0,0.0,0,0,1.0,1,0,0,1,0.0,0,0,0,0,5,3,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,14,0,0,22,0,0,0,7,0,0,4,0,0,0.1710875459362408,0,1,0,0,0,0,5,0,0,-0.018794298171997,2.3476402185050635,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.13042852884132,-0.1596288857877775,-114.29428222404871,239.4034214602194,450.4328084716613,520.948868768412
17,0,0,13694,0,14,3128,9250,3128,7643,4,10,1,1,True,False,True,False,11850,0,1,0,3,7,0,3,2,572,82773,26436,5620,8,0,1,0,10308,2064,7267,0,0,69,50,220,20,4,4,7,14,200,71,4,95658,4249,0,1740,0,57,373,119,1,0,2577,2211,236,0,3,4,0,91,10,10,45,True,0,0,1,2,0,375,0,1,0.8432601764872927,10,0.1116229133833155,4,0,0,2,0.0,4249.69775390625,0,0,29,0,0,0,0,0,1,772.5193808,0,0,2021.3461761,0.0,1.0,10,0,0,0.0,1,1,6.0,6,0,1,1,0.0,0,1,0,0,5,6,1.0,0,0,20.0,8,2.0,0,0.0,0,0,1,0,0,1,0,0,20,0,0,0,1,1,0,6,33,0,0,34,0,0,1,24,0,0,10,0,1,0.2370966451565393,0,1,0,0,7,3,5,2,0,-0.1063207983970642,2.718135327295545,10,7,1,713.9669338,0.0,0.0,0.0,1302.8269814,0.0,20.03273379999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,125.678621011937,0.2077823209928103,46.00894250555087,378.1341410182016,911.6300917615988,389.5918518615194
12,0,2,9607,0,6,1489,4490,1489,7178,8,3,1,0,False,False,True,False,6950,0,0,0,1,3,0,2,2,651,44908,18075,7787,0,0,0,0,4392,761,5404,0,0,55,38,155,15,5,4,6,7,200,45,0,49401,2642,0,2854,757,37,256,140,4,0,100,0,142,0,3,3,0,73,4,13,34,True,0,0,0,0,0,300,0,0,0.4462648566190961,3,0.1221511880855884,8,10,0,0,0.0,3400.2841796875,0,0,21,0,0,0,0,0,1,863.0692925113589,0,4,1831.2246463089,0.0,0.0,7,0,0,0.0,1,0,1.875,3,0,0,0,0.0,0,0,0,0,1,5,0.0,0,0,0.0,9,1.0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,54,30,0,0,30,0,0,0,15,0,0,1,0,0,0.152767140495298,0,1,1,0,2,3,0,1,0,-0.1988269686698913,2.402243023392184,14,8,0,0.0,0.0,0.0,0.0,0.0,0.0,7.345462003296689,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.92644498533902,-0.2293547112565196,-8.38782944023843,287.3159232869172,617.1607630325433,436.8879599849189
19,0,2,12664,0,10,2920,10541,2920,10424,4,8,0,0,False,False,True,False,9450,2,3,0,1,3,0,2,1,576,47764,15470,6028,0,0,0,0,6023,1194,5701,0,0,51,49,144,14,4,3,3,4,100,38,0,53788,4376,0,1016,0,40,164,102,1,0,0,0,603,0,5,3,0,83,8,11,35,True,0,0,0,2,0,0,0,1,0.607266942829339,8,0.1090548634569361,4,1,0,2,0.0,4376.4453125,0,0,18,0,0,0,0,0,1,649.8072151615787,0,0,1830.9907646479207,0.0,0.0,8,0,0,0.0,0,2,5.5,0,0,0,1,0.0,0,0,0,0,5,3,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,12,17,0,0,24,0,0,1,22,0,0,5,0,2,0.138822037045871,0,2,0,0,6,5,5,1,0,0.5036033391952515,2.7391293741028746,11,5,0,412.0864714674987,0.0,0.0,0.0,1236.667318623068,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64.1947530645255,0.2293840078875337,51.31647947883968,357.3475151447936,546.0650153482659,404.14185275385046
3,0,0,4716,0,5,356,356,356,5284,8,1,0,0,False,False,False,False,5325,0,0,2,0,2,0,0,1,352,12172,4620,4212,0,0,0,0,2217,666,7916,0,0,18,16,78,3,3,14,3,4,100,19,0,14700,406,0,0,0,8,79,121,0,0,310,310,84,0,0,10,0,12,1,0,6,False,0,0,0,0,0,0,0,0,0.0,1,0.1591147967496389,8,2,0,0,0.0,406.40814208984375,0,0,8,0,0,0,0,0,0,0.0,0,0,1140.6830284778464,0.0,0.0,1,0,0,0.0,0,0,0.625,0,0,0,0,0.0,0,0,0,0,6,1,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,13,9,0,1,5,0,0,0,5,0,0,3,1,0,0.1570011989947658,0,0,0,0,1,0,0,0,0,-0.5675228834152222,0.6640652201987818,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-294.1921564729561,-0.5260006373555446,-214.6082600410622,255.005108989968,294.3499566641628,642.4571784660621
11,0,0,10877,0,12,464,2755,464,9801,7,9,0,0,False,False,False,False,7850,0,0,1,0,1,0,0,1,493,66749,16761,4417,4,0,1,0,8416,1225,11115,0,0,67,77,213,13,5,4,7,14,200,45,4,77242,2416,0,674,0,43,262,154,1,0,2076,1068,690,0,0,8,0,85,10,11,41,False,0,0,6,0,0,0,0,1,0.7365402263405114,8,0.1055406891225572,7,6,0,2,0.0,2416.447998046875,0,0,23,0,0,0,0,0,0,0.0,0,1,1966.8969412340743,0.0,0.0,4,0,0,0.0,0,0,1.7142857142857142,1,0,0,1,0.0,0,0,0,0,1,7,0.0,0,0,30.00000002980232,0,0.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,30,22,0,0,32,0,2,0,12,0,0,3,0,0,0.1675332465431168,0,0,0,0,2,0,0,1,0,0.0629487037658691,2.620082141079994,11,3,0,1055.696818293444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-78.27558057180268,-0.6406029586936306,-98.13427229130522,244.2832615818378,581.2404178546875,494.8810380422271
