assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,13823,0,16,766,2246,766,22576,3,12,0,0,False,False,False,False,8750,0,1,0,0,0,0,0,0,972,20859,8016,7554,0,0,1,0,7251,1715,13287,0,0,28,26,92,10,7,14,5,4,200,73,0,35772,0,0,5299,399,39,260,88,5,0,7660,2094,779,2,3,3,0,110,14,8,54,True,0,0,1,3,0,0,0,1,0.8248656678356115,12,0.1574685731996208,3,1,0,1,0.0,399.60247802734375,1,0,85,0,0,0,0,0,0,0.0,0,0,2258.5714589,0.0,1.0,6,0,0,0.0,0,0,2.333333333333333,0,0,0,0,0.0,0,0,0,4,3,14,0.0,0,0,1.0,15,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,26,0,0,41,0,4,0,7,0,0,3,0,2,0.1172124715950384,1,0,0,0,0,3,0,1,0,0.0162426233291625,2.9391900089523912,8,5,1,2106.9235838,0.0,0.0,0.0,1669.4597276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2106.9235838,0.0,-6.853889851038532,-0.0796963936167271,53.37001825866825,244.6147974742744,314.1897491016772,574.3453433312134
17,0,0,12020,0,12,405,1758,405,20359,9,8,0,0,False,False,False,False,9300,0,1,0,0,5,0,0,1,631,17396,10621,8234,0,0,0,0,7107,2186,12761,0,0,41,23,58,7,5,14,5,4,200,65,0,31874,0,0,4171,723,39,194,167,5,0,7370,708,1260,0,1,3,0,88,10,13,32,True,0,0,0,0,0,300,0,0,0.8838686243969471,8,0.1545729467721598,9,17,0,0,0.0,723.32763671875,0,0,95,0,0,0,0,0,0,0.0,0,3,2061.5752096,0.0,0.0,15,0,0,0.0,0,0,2.4444444444444446,2,0,0,1,1.0,0,1,0,9,2,9,0.0,0,0,6.0,7,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,89,21,0,0,23,0,8,0,22,0,0,4,1,0,0.106160880978624,0,2,0,0,1,1,0,1,0,0.0217968225479125,2.569557908378586,13,6,1,0.0,0.0,0.0,0.0,0.0,0.0,12.161104700000124,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-102.44593503866317,-0.058207917635604,-21.827969113351525,296.6566522298561,393.3982113402301,647.7377074490021
13,0,0,9283,0,18,655,4244,655,18933,5,16,0,0,False,False,False,False,7550,0,1,0,0,1,0,0,1,492,34688,5954,10138,6,0,0,0,10697,1079,11959,0,0,45,17,78,7,4,14,10,4,100,61,2,51672,0,4,8922,2153,54,378,72,5,0,6287,394,679,0,1,1,0,83,16,15,40,True,0,0,5,1,0,0,1,1,0.8790775210869415,16,0.1945846684143605,5,7,0,0,0.0,2153.021484375,0,0,66,2,0,0,0,0,1,743.9993586855906,1,2,1793.1725078738734,0.0,0.0,8,0,0,0.0,0,0,2.8,1,0,0,0,0.0,0,0,0,7,0,13,0.0,0,0,55.40000003576279,3,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,37,17,0,0,23,0,1,0,14,0,0,6,0,1,0.1001675892052894,0,2,0,0,3,1,5,2,0,0.1777582168579101,2.8014838682286487,15,9,1,0.0,0.0,0.0,0.0,1310.6183038811496,0.0,17.19583620822391,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36.60551325194471,0.0669204995465168,-9.502710935605393,285.1482485677082,248.5427353157635,762.1241090855069
5,0,0,4571,0,2,176,712,176,13738,11,0,0,0,False,False,False,False,4250,0,0,0,0,0,0,0,0,161,17683,5737,7552,0,0,0,0,4173,1055,7705,0,0,32,16,29,4,4,14,3,4,200,40,0,25199,0,0,1633,373,28,174,195,5,0,3342,594,540,0,0,4,0,12,0,0,8,False,0,0,0,0,0,0,0,0,0.0,0,0.185472844406548,11,1,0,0,0.0,373.0723876953125,0,0,63,0,0,0,0,0,0,0.0,0,0,1140.9823032264148,0.0,0.0,4,0,0,0.0,0,0,0.4545454545454545,1,0,0,0,0.0,0,0,0,4,3,13,0.0,0,0,13.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,13,0,0,8,0,2,0,5,0,0,5,0,0,0.1504383963095956,0,1,0,0,2,0,0,0,0,-0.1470126509666443,0.6333368457351884,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.69753567233208,-1.0517253393034212,-61.84144995104116,220.1786997831712,388.4547540717186,830.7578455157723
3,0,0,4364,0,8,0,0,0,6600,2,1,0,0,False,False,False,False,3950,0,0,0,1,2,0,2,1,694,12105,3052,1255,0,0,0,0,5910,834,5269,0,0,20,9,26,3,3,14,2,4,200,24,0,23628,0,0,1385,259,31,133,42,3,0,5612,448,822,0,0,2,0,18,2,3,7,False,0,0,0,0,0,0,0,0,0.1003165008860216,1,0.1630096508401581,2,0,0,0,0.0,259.18804931640625,0,0,37,0,0,0,0,0,0,0.0,0,0,948.7265570769172,0.0,0.0,3,0,0,0.0,0,0,2.5,0,0,0,1,0.0,0,1,1,4,3,15,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,12,0,1,6,0,0,0,5,0,0,5,0,0,0.1220375591012186,0,0,0,0,0,0,0,1,0,0.3744659423828125,1.141390208465511,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.118827103963625,-0.1264853387995453,-41.29746311805153,265.2397554626465,274.1569718480144,464.6438920801296
5,0,1,5144,0,2,269,736,269,4194,1,0,0,0,False,False,False,False,4050,0,0,0,0,1,0,0,1,51,13209,3431,965,0,0,0,0,5807,831,3705,0,0,21,9,40,2,4,14,1,4,100,23,0,24131,0,0,1633,234,35,117,6,3,0,5115,552,0,0,1,0,0,19,0,7,4,True,0,0,0,0,0,0,0,0,0.0,0,0.1222908597364117,1,0,0,0,0.0,234.45260620117188,0,0,30,0,0,0,0,0,1,866.5271730815334,0,0,959.1431204574995,0.0,1.0,4,0,0,0.0,0,0,6.0,1,0,0,0,0.0,0,0,0,3,2,20,0.0,0,0,15.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,11,0,0,4,0,0,1,6,0,0,6,0,0,0.1733493159614526,0,1,0,0,2,1,0,0,0,-0.1284223794937133,1.21391191471556,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.830200096652614,0.1876675088011288,55.987473459003446,294.137542127636,301.2063516258118,292.1357553670906
6,0,0,7431,0,6,0,0,0,18135,9,4,0,0,False,True,False,False,5700,0,0,2,0,1,0,0,1,294,17463,6846,7811,1,0,0,0,4242,951,12441,0,0,31,18,62,10,6,14,4,4,200,54,0,29074,0,1,2119,147,39,202,183,5,0,7368,818,778,0,0,9,0,58,4,5,24,False,0,0,0,0,0,0,0,0,0.7784571974600281,4,0.2087329165412306,9,16,0,0,0.0,147.06491088867188,0,0,60,1,0,0,0,0,1,958.4521427,0,1,1547.0943883999998,0.0,0.0,3,0,0,0.0,0,0,0.7777777777777778,1,0,0,1,0.0,0,0,0,1,2,17,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,84,25,0,0,20,0,6,0,7,0,1,4,0,0,0.1826917543816964,0,1,0,0,0,0,0,1,0,0.0382884740829467,2.2751212187822665,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.24659454966712,-0.6205180544884717,-123.59943997842248,234.3231303262092,334.1101899636365,815.6322002466907
15,0,2,12382,0,12,615,4950,615,39056,11,6,1,0,True,False,False,False,7775,0,1,0,1,4,4,2,2,296,31084,11440,9794,0,0,0,0,9316,1541,18571,0,0,45,32,79,11,8,14,5,4,100,81,0,49402,0,0,7571,2445,43,325,313,8,0,9001,1394,823,0,4,6,0,98,7,12,40,True,0,0,0,0,0,0,0,0,0.5808259390862336,6,0.201201963484627,11,7,0,0,0.0,2445.22998046875,0,0,100,0,0,0,0,0,1,879.3650742300342,0,2,2061.412599471059,0.0,1.0,14,0,0,0.0,0,0,1.7272727272727273,1,0,0,0,0.0,0,0,0,9,0,18,0.0,0,0,16.0,2,1.0,0,0.0,0,0,1,0,0,0,0,0,15,0,0,0,1,2,0,36,28,0,0,32,0,2,0,19,0,0,6,0,1,0.1102199700010791,0,2,0,0,0,4,0,1,0,0.4599659442901611,2.870372084034742,12,4,0,0.0,0.0,0.0,0.0,1844.304873639965,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-14.116533491386836,-0.2328500369713292,-9.31400147885317,281.0791008790158,418.46062269210006,849.5824661445162
5,0,0,5004,0,6,386,3122,386,4577,1,3,0,0,False,False,False,False,4650,0,0,0,0,0,0,0,0,398,9437,1992,1176,0,0,0,0,4441,389,5034,0,0,11,8,51,1,1,14,2,4,200,21,0,19264,0,0,1441,146,30,169,14,4,0,5385,90,150,0,2,1,0,32,4,5,12,True,0,0,0,0,0,0,0,0,0.5947605486551168,3,0.1209932444397339,1,0,0,2,0.0,146.4561767578125,0,0,23,0,0,0,0,0,1,781.3805259978643,0,0,1106.169193204597,0.0,1.0,4,0,0,0.0,0,0,5.0,0,0,0,0,0.0,0,0,0,3,0,16,0.0,0,0,7.0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,6,2,0,0,9,0,2,0,5,0,0,4,0,0,0.065052297814647,0,1,0,0,0,2,10,0,0,-0.018044114112854,1.7387428130856195,5,5,0,552.0146190349293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.76576267339137,0.1627237506755507,24.191597600431884,261.3343435849346,134.03012930642868,345.02859268239285
14,0,0,9184,0,6,51,310,51,19939,6,3,0,1,False,False,False,False,7700,0,0,1,0,3,0,0,1,698,22704,9194,8737,4,1,0,0,8643,2706,12095,0,0,31,18,59,6,4,4,5,14,100,52,0,37956,0,0,3729,544,44,239,108,5,0,6608,857,1085,0,0,7,0,55,4,8,26,False,0,0,0,0,0,375,0,1,0.7450132294619709,3,0.2141845469908128,6,34,0,1,0.0,544.3921508789062,0,0,56,0,0,0,1,1,0,0.0,0,1,1572.2796323188395,0.0,0.0,10,0,0,0.0,0,0,2.833333333333333,0,0,0,0,0.0,0,0,0,7,0,17,0.0,0,0,38.0,0,3.0,0,0.0,0,0,0,0,0,1,0,0,12,0,0,0,0,13,0,173,13,0,0,23,0,0,0,17,0,0,8,0,0,0.1934220190756134,0,1,0,0,2,0,5,1,0,-0.3459351062774658,2.1185000994909893,8,8,0,608.8623305481004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.063176674221417,0.0763223014108634,-8.586258908722137,315.5163940325094,486.8217995491924,836.4161011616524
