assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
15,0,0,10553,0,11,614,1024,614,9162,9,7,0,0,False,False,False,False,7700,0,1,1,0,1,0,0,1,451,5197,2627,12974,0,0,0,0,4948,1353,5945,0,0,31,42,85,4,3,4,6,3,200,15,0,13023,3153,0,6179,3192,25,112,279,5,0,2878,828,2871,0,2,7,0,95,8,16,35,False,1,0,0,0,0,0,0,0,0.7320362606674113,7,0.1752614337699283,9,12,0,0,0.0,6345.72802734375,0,0,28,0,0,0,0,0,1,831.2609225713818,0,1,1926.4700713427933,0.0,0.0,5,0,0,0.0,0,0,1.7777777777777777,2,0,0,0,0.0,0,0,0,0,3,4,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,64,18,0,0,27,0,0,0,16,0,0,1,0,1,0.0546325310093378,0,1,0,0,0,2,5,0,0,0.1739135980606079,2.9622878473463614,18,6,0,0.0,0.0,0.0,0.0,1425.4147077842222,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.197864258372594,0.0,-32.70229885070967,262.42816201531394,149.80767378277477,678.6817088150613
11,0,0,9251,0,8,98,98,98,5688,8,3,0,0,False,False,False,False,7425,0,0,2,1,4,0,2,1,338,12062,3863,10661,0,0,0,0,3967,1413,2886,0,0,43,21,73,4,4,4,6,14,100,16,0,16794,3093,0,3483,2415,13,163,197,5,0,764,764,1046,0,0,10,0,52,4,7,23,False,0,0,0,0,0,450,0,0,0.0,3,0.1253812009459032,8,4,0,0,0.0,5509.3564453125,0,0,38,0,0,0,0,0,0,0.0,0,3,1531.4825823,0.0,0.0,7,0,0,0.0,0,0,1.875,1,0,0,0,0.0,0,2,0,0,2,3,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,8,0,24,18,0,0,20,0,0,0,15,0,0,6,0,0,0.0865544212811578,0,0,0,0,1,0,0,0,0,-0.1519135236740112,2.0757874260792084,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,29.756780600000184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.46210242903132,-0.5484881184469478,-69.97141282473206,290.9729468361058,236.63344538711175,571.7596857581968
10,0,0,9534,0,7,754,1330,754,6536,5,3,0,0,False,False,False,False,6625,0,0,2,0,0,0,0,0,653,5121,2504,8880,0,0,0,0,6199,924,3158,0,0,28,16,70,5,3,7,5,4,100,16,0,21607,6462,0,5972,4114,32,106,171,5,0,10287,0,803,1,2,11,0,55,5,4,23,False,0,0,0,0,0,0,0,0,0.3911036510439749,3,0.1119318001142717,5,0,0,0,0.0,10577.53125,0,0,36,0,0,0,0,0,1,896.8234121689176,0,2,1813.083309573935,0.0,0.0,1,0,0,0.0,0,0,2.0,1,0,0,0,0.0,0,0,1,0,2,14,0.0,0,0,23.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,19,0,0,20,0,0,0,10,0,0,3,0,0,0.0363643966480887,0,0,0,0,0,2,0,0,0,-0.0622825026512146,1.8443249979514853,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-65.391369152177,-0.0992783944618072,-94.57921712394833,224.1375218966067,113.44211207169168,424.9777138928426
8,0,0,6941,0,12,585,3778,585,5347,4,10,0,0,False,False,False,False,5935,0,0,1,0,0,0,0,0,567,6568,2836,4970,0,0,1,0,2155,768,5514,0,0,38,13,69,5,4,7,5,4,200,20,0,11573,4092,0,3328,1655,6,136,112,5,0,2850,0,262,0,0,7,0,60,10,6,31,False,0,0,0,2,0,0,0,1,0.6947457056460759,10,0.1022980550907029,4,5,0,0,0.0,5748.18701171875,0,0,42,0,0,0,0,0,0,0.0,0,0,1569.9501064,0.0,0.0,1,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,4,1,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,29,21,0,0,21,0,12,0,8,0,0,3,0,1,0.0529448287112368,0,0,0,0,3,0,0,0,0,0.174476146697998,2.3181945907222827,6,5,0,0.0,0.0,0.0,0.0,1297.8743086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-33.51698871543195,-0.4203955255071283,-106.24541462816514,235.15396985866911,137.77507904119977,410.7264284204643
21,0,0,11220,0,11,520,1171,520,8451,3,6,0,0,False,False,False,False,6850,0,1,0,0,1,0,0,1,1100,2662,1990,9495,0,0,0,0,4823,767,6213,0,0,18,20,84,7,5,7,5,4,200,12,0,12256,6702,0,6694,2776,31,49,94,5,0,4771,0,999,0,1,5,0,88,9,6,41,True,1,0,0,1,0,0,0,0,0.6594307705957138,6,0.1375354090797722,3,3,0,2,0.0,9478.8759765625,0,0,26,0,0,0,0,0,1,737.4122031078754,0,3,1949.4232145226288,0.0,0.0,5,0,0,0.0,0,0,7.333333333333333,3,0,0,1,0.0,0,0,1,0,2,13,0.0,0,0,12.0,1,2.0,0,0.0,0,0,0,0,0,0,1,0,17,0,0,0,0,1,0,20,14,0,0,35,0,0,0,22,0,0,6,0,1,0.0246184524239124,0,1,0,0,0,1,5,0,0,-0.1484541893005371,2.7120913589177422,6,2,0,660.1197429580128,0.0,0.0,0.0,1835.771722796396,0.0,25.690098584208727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.20508904897453,0.4616750192032521,67.52766614212901,250.68953542736588,84.85586852955774,514.2444147231957
14,0,0,11129,0,8,1090,4039,1090,10853,6,5,0,0,False,False,True,False,6700,0,0,1,0,1,0,0,1,660,6625,1925,4395,0,0,0,0,6324,1030,10046,0,0,34,19,88,4,4,7,3,4,200,7,0,14646,3459,0,6521,2745,7,87,168,5,0,1695,0,1208,0,2,7,0,40,6,3,16,False,1,0,0,1,0,0,0,0,0.7264772641221723,5,0.1233219287806003,6,2,0,3,0.0,6205.0888671875,0,0,16,0,0,0,0,0,1,890.5920947790188,0,2,1766.107958061843,0.0,0.0,5,0,0,0.0,0,0,2.5,2,0,0,0,0.0,0,0,1,0,1,1,0.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,1,1,0,13,0,0,0,0,1,0,17,9,0,0,11,0,0,0,15,0,0,5,1,1,0.0324445261537025,0,1,0,0,2,2,0,0,0,-0.0261048078536987,1.3844523083759663,3,3,0,806.0581534589857,0.0,0.0,0.0,1711.0229397766238,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-11.346984712074022,-0.2378110568398747,-3.023597722678407,261.965865613182,100.42421200266708,531.6775770777199
18,0,0,14332,0,19,1557,1963,1557,9871,6,13,0,0,False,False,False,False,8550,0,0,6,0,0,0,0,0,1055,8667,3586,6813,0,0,0,0,4768,1188,12840,0,0,34,28,76,7,6,7,5,4,200,16,0,13436,4583,0,9394,5453,17,94,178,5,0,0,0,285,0,0,11,0,106,16,12,49,False,1,0,0,1,0,0,0,1,0.8156151890668721,13,0.1117086371971554,6,3,0,0,0.0,10037.064453125,0,0,34,0,0,0,0,0,0,0.0,0,0,2200.1277841,0.0,0.0,1,0,0,0.0,0,0,3.0,0,0,0,0,0.0,0,0,0,0,8,3,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,19,21,0,0,36,0,4,0,18,0,0,5,0,1,0.0445565823971727,0,0,0,0,3,0,0,0,0,0.3446419239044189,2.899739464856136,14,6,1,0.0,0.0,0.0,0.0,1640.4220901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.554280925141288,0.2181691461145527,13.226504483194756,245.76754309804363,130.21970908712365,543.7593255472583
9,0,1,9592,0,5,0,528,0,6403,3,2,0,0,False,False,False,False,6475,0,0,2,0,1,0,0,1,748,7355,3029,2918,0,0,0,0,3781,1232,5745,0,0,42,24,99,4,6,14,4,4,200,13,0,11993,4654,0,2870,1948,12,114,54,5,0,856,674,708,0,0,10,0,57,3,5,33,False,0,0,0,0,0,500,0,1,0.2154978363024702,1,0.0954283116555632,3,2,0,0,0.0,6602.2607421875,0,0,30,0,0,0,0,0,0,0.0,0,0,1571.80911889507,0.0,0.0,1,0,0,0.0,0,0,3.333333333333333,0,0,0,0,0.0,0,0,0,0,0,4,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,19,0,0,24,0,0,0,10,0,0,5,0,0,0.0674001754829409,0,0,0,0,0,0,0,0,0,-0.1010637879371643,2.1957785072606746,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176.09008414111202,-0.3817257406050552,-114.28868673715355,258.924569852409,188.3816529885948,357.7915366691184
18,0,0,10557,0,11,741,6103,741,11892,9,8,0,0,False,False,False,False,7725,0,0,1,0,0,0,0,0,450,8761,3542,6729,0,0,0,0,3012,795,14026,0,0,54,37,137,6,6,7,3,4,100,20,0,15855,6174,0,11348,5709,15,147,208,5,0,4081,0,592,0,2,8,0,77,9,6,41,False,1,0,0,1,0,0,0,0,0.5730251815940292,8,0.1578161955748349,9,6,0,2,0.0,11884.734375,0,0,44,0,0,0,0,0,0,0.0,0,3,1937.2983683958428,0.0,0.0,2,0,0,0.0,0,0,2.0,1,0,0,0,0.0,0,0,0,0,4,1,0.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,16,0,0,0,0,26,0,37,23,0,0,33,0,0,0,18,0,0,5,0,1,0.0390094831731511,0,1,0,0,0,2,0,0,0,0.0218796730041503,2.4125921457864523,6,4,0,487.8707569548458,0.0,0.0,0.0,1483.3730648460012,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-34.50165503176781,0.1858257901172413,-24.12638175022184,252.72307455944824,134.3520462547655,661.1681612371448
18,0,0,9698,0,14,527,665,527,8020,4,7,0,0,False,False,False,False,6575,0,0,0,0,0,0,0,0,684,7162,2313,7778,0,0,0,0,3427,1326,5528,0,0,38,29,74,6,5,7,3,4,100,14,0,10589,2977,0,6990,3594,13,140,122,5,0,0,0,729,0,1,2,0,69,7,7,26,True,1,0,0,0,0,0,0,1,0.6235300184413468,7,0.1396398518901405,4,3,0,2,0.0,6571.70556640625,0,0,30,0,0,0,0,0,1,859.5382999453725,1,4,1657.459687919472,0.0,0.0,5,0,0,0.0,0,0,4.5,0,0,0,0,0.0,0,0,0,0,1,6,0.0,0,0,9.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,20,12,0,0,19,0,0,0,18,0,0,2,0,0,0.0414045195961383,0,2,0,0,3,1,5,0,0,0.5814359188079834,2.5010810273204744,7,5,0,1066.5274854316929,0.0,0.0,0.0,0.0,0.0,20.651389696180104,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-8.434594278156116,0.2895998035418409,8.977593909797069,257.3818253978111,131.76791061153762,508.1028553141599
16,0,0,11876,0,17,864,1847,864,11572,3,15,0,0,False,False,False,False,7775,0,2,0,0,1,0,0,1,669,8884,2025,10086,0,0,0,0,3415,1023,6290,0,0,43,37,126,7,3,4,6,7,200,12,0,12299,5758,0,13336,5931,24,135,78,5,0,0,0,541,0,2,3,0,119,15,17,57,True,1,0,0,1,0,0,0,1,0.6211798951535309,15,0.1514694341734047,3,1,0,2,0.0,11689.984375,0,0,26,0,0,0,0,0,1,898.9079644544196,0,2,2032.9411607055283,0.0,0.0,2,0,0,0.0,0,0,5.666666666666667,2,0,0,1,0.0,0,0,1,0,2,7,0.0,0,0,0.0,7,2.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,21,0,14,14,0,0,42,0,2,0,17,0,0,2,0,1,0.0299199320133917,0,1,0,0,3,2,0,0,0,0.2963508367538452,3.512560143159387,17,10,1,1458.8312778602703,0.0,0.0,0.0,1615.53706732235,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.296875203927108,0.1770833347065798,20.42361126949221,261.6701409180895,89.95833403094257,499.3159760943197
0,0,0,4183,0,4,539,1610,539,3027,2,2,0,0,False,False,False,False,3500,0,0,0,0,0,0,0,0,419,6404,1495,2428,0,0,0,0,2952,771,3369,0,0,28,15,38,2,2,3,2,4,200,11,0,9357,1485,0,2233,1004,8,129,26,3,0,0,0,0,0,0,0,0,19,2,2,10,True,0,0,0,0,0,0,0,0,0.4416891949131924,2,0.1280676421879533,2,0,0,1,0.0,2490.119873046875,0,0,22,0,0,0,0,0,1,863.8698390251412,0,0,950.5335306316016,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,5,0,0.0,0,0,0.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,8,0,7,0,0,0,0,0,0,0,0.064607590670635,0,1,0,0,2,0,0,0,0,-0.0211946964263916,1.2022290842617398,3,3,0,699.410074756656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-28.72071223185567,-0.2524897778624674,-63.56430157687618,230.7756569662953,143.09858160355344,365.98393301164657
20,0,1,9393,0,7,1139,1848,1139,4132,0,5,0,0,False,False,False,False,5475,1,2,0,0,1,0,0,1,0,14287,3800,1687,0,0,0,0,6613,1490,3932,0,0,48,19,79,5,2,7,1,4,100,14,0,20900,5026,0,5791,4059,9,230,0,5,0,0,0,0,0,6,1,0,44,5,6,20,True,1,0,0,0,0,0,0,0,0.4323805533005677,5,0.0813329903869157,0,2,0,2,0.0,9085.9951171875,0,0,28,0,0,0,0,0,1,840.6469512188168,0,0,1353.3540922919717,0.0,0.0,6,0,0,0.0,0,0,21.0,3,0,0,0,0.0,0,0,0,0,5,3,0.0,0,0,2.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,19,0,0,0,1,4,0,11,18,0,0,14,0,2,0,21,0,0,9,0,0,0.0586300079690821,0,2,0,0,2,6,10,0,0,0.2302902936935424,1.9639201215957047,6,5,1,858.4131610849927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,110.6140668230261,0.8866859063970028,125.77639582241486,320.2266150952776,234.52842224200725,249.15873969755785
27,0,0,14779,0,12,2435,4871,2435,11139,7,7,0,0,False,False,False,False,9085,0,2,0,0,1,0,0,1,493,13289,3731,9926,4,0,0,0,5718,628,14070,0,0,61,42,123,10,7,7,4,4,200,21,4,19538,9374,0,14539,8018,3,193,230,5,0,530,312,1705,1,5,5,0,79,9,2,44,True,2,0,1,1,0,375,0,1,0.667843990655311,7,0.1675369154615608,7,2,0,1,0.0,17393.755859375,0,0,46,0,0,0,0,0,1,832.6166081425836,0,6,2164.419690854467,0.0,0.0,10,0,0,0.0,0,0,4.0,3,0,0,0,0.0,0,0,1,0,4,1,0.0,0,0,0.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,14,24,0,0,37,0,4,0,28,0,0,5,0,2,0.0351891815439535,0,1,0,0,3,5,0,0,0,-0.260822594165802,2.193308869726467,2,1,0,1146.67632665676,0.0,0.0,0.0,1719.2163847664797,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.49637923211105,0.2494895062550551,74.15382547025249,285.85953205579204,129.51277480262416,712.4865877519363
17,0,0,10208,0,17,865,946,865,6575,4,13,0,0,False,False,False,False,7525,0,0,1,0,1,0,0,1,686,8755,2125,5463,0,0,0,0,4648,1361,5268,0,0,37,28,68,6,4,3,4,4,100,14,0,13403,4224,0,4899,3589,16,157,127,5,0,0,0,473,0,3,8,0,81,15,8,40,False,1,0,0,0,0,0,0,1,0.5591296594899567,13,0.0941432009738814,4,2,0,0,0.0,7814.31689453125,0,0,28,0,0,0,0,0,0,0.0,1,3,1799.561393379992,0.0,0.0,4,0,0,0.0,0,0,4.5,5,0,0,0,1.0,0,1,0,0,3,7,0.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,9,0,18,11,0,0,27,0,2,0,18,0,0,4,0,0,0.0407292609950202,0,0,0,0,0,3,0,0,0,0.1728299856185913,2.724715089897944,8,3,0,0.0,0.0,0.0,0.0,0.0,0.0,12.307795120205355,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.034560106328591,0.2667316612624419,-9.435632517158885,263.130783835399,116.26166285276688,373.5910330557077
19,0,0,9406,0,6,681,2149,681,3723,1,3,0,0,False,False,False,False,5485,0,1,0,0,0,0,0,0,821,7354,1862,3806,0,0,0,0,5298,805,3552,0,0,32,33,91,5,5,7,1,4,200,11,0,12653,4196,0,9063,6468,8,111,27,5,0,0,0,94,0,3,2,0,46,4,7,18,True,1,0,0,1,0,0,0,0,0.5787657348135629,3,0.104432718602272,1,0,0,2,0.0,10665.025390625,0,0,22,0,0,0,0,0,1,823.8939919065893,0,3,1459.8266812644574,0.0,0.0,2,0,0,0.0,0,0,19.0,0,0,0,0,0.0,0,0,0,0,5,1,0.0,0,0,0.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,19,0,0,0,1,31,0,6,12,0,0,14,0,2,0,19,0,0,8,0,1,0.036559809718117,0,2,0,0,1,3,0,0,0,0.0825817584991455,1.8923525301472008,7,3,0,748.177477585358,0.0,0.0,0.0,1298.7634576236392,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.87812239805113,0.5343100040645837,93.66865378947588,288.48630142533176,109.61575237232653,306.3240354071802
20,0,0,9597,0,11,1383,1924,1383,5739,3,6,0,0,False,False,True,False,7075,0,1,0,0,0,0,0,0,783,5794,1210,3669,0,0,0,0,3297,1327,7024,0,0,28,35,63,6,4,7,2,4,100,9,0,9091,4871,0,7026,4544,12,90,85,4,0,0,0,64,0,5,2,0,58,8,5,27,True,1,0,0,1,0,0,0,0,0.593419194407016,6,0.1111030948198019,3,5,0,0,1.0,9416.212890625,0,0,20,0,0,0,0,0,1,859.660368457227,0,1,1355.1010014689025,0.0,0.0,5,0,0,0.0,0,0,6.666666666666667,5,0,0,0,0.0,0,0,1,0,2,2,0.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,19,0,0,0,0,41,0,27,7,0,0,21,0,0,0,20,0,0,8,0,1,0.0329326969679662,0,2,0,0,3,5,5,0,0,0.6592766046524048,2.60291592300175,5,5,0,0.0,0.0,0.0,0.0,1296.0689536277018,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,69.91360783978739,0.2213857119689277,104.98110461566554,359.1319019559946,112.33111025303394,476.33349787234494
14,0,1,9212,0,16,478,6715,478,4504,2,9,0,0,False,False,False,False,6110,0,1,0,0,1,0,0,1,1100,2814,983,3246,0,0,0,0,5022,623,3966,0,0,19,17,54,4,4,4,6,7,100,8,0,16951,4099,0,5103,3920,42,55,16,5,0,9113,0,216,0,3,1,0,60,9,9,27,True,1,0,0,1,0,0,0,1,0.4719264488907796,9,0.0760605151821111,2,1,0,1,0.0,8020.3427734375,0,0,16,0,0,0,0,0,0,0.0,2,3,1460.93173416865,0.0,0.0,2,0,0,0.0,0,0,7.5,2,0,0,1,0.0,0,0,0,0,0,18,0.0,0,0,33.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,0,10,9,0,0,17,0,2,0,15,0,0,2,0,1,0.0200255261329143,0,0,0,0,0,3,0,0,0,0.5722332000732422,2.4764923210955567,9,7,0,1166.728684224532,0.0,0.0,0.0,1363.4791738578392,0.0,14.306653386757034,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.272181355673457,0.2874877656340341,117.74677486753944,285.14679382815706,65.95790737260842,305.10665869932
