assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,0,9431,0,7,2648,5197,2648,6036,3,5,0,0,False,False,False,False,6525,0,1,0,1,2,0,2,1,646,20756,5101,2543,2,0,0,0,6315,122,9877,0,0,52,77,19,5,4,3,3,4,200,23,0,27204,1170,2,2338,0,21,149,82,1,0,132,0,336,2,4,1,0,72,5,5,39,True,0,0,0,0,0,600,0,1,0.7043803527405919,5,0.1064547000794258,3,5,0,3,0.0,1170.679931640625,0,0,9,3,0,0,0,0,1,803.2193596065293,0,1,1725.3816263511014,0.0,0.0,5,0,0,0.0,0,0,3.333333333333333,0,0,0,1,0.0,0,1,1,0,0,4,0.0,0,0,19.80000001192093,4,1.0,0,0.0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,27,11,0,0,34,0,0,0,10,0,0,3,0,1,0.0681259939796349,0,0,0,0,3,4,0,0,0,2.588651180267334,2.520310610253376,5,2,0,415.21150190132136,0.0,0.0,0.0,1579.7656852835105,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,91.00595346669566,0.1390996613934973,19.752151917876628,287.51900010035905,181.66415777990755,443.62359509921146
18,0,0,13341,0,14,923,923,923,14646,7,11,0,0,True,False,False,False,9700,0,0,1,1,4,0,2,1,756,59194,22539,9592,0,0,0,0,7273,1005,12606,0,0,83,109,26,8,8,3,6,4,100,117,0,67406,1645,0,3845,0,69,428,228,1,0,939,932,528,0,1,9,0,100,12,14,52,False,0,0,0,0,0,0,0,1,0.4877117854315657,11,0.1596218849478123,7,5,0,0,0.0,1645.831787109375,0,0,41,0,0,0,0,0,0,0.0,0,1,2136.031363842854,0.0,1.0,13,0,0,0.0,0,0,3.142857142857143,3,0,0,1,0.0,0,1,0,0,5,10,0.0,0,0,30.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,28,40,0,0,40,0,2,0,22,0,0,8,1,1,0.172739065899186,0,2,0,0,3,1,0,3,0,0.077399730682373,2.8342655930405645,14,8,2,0.0,0.0,0.0,0.0,1690.7131894721435,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,55.42053455012336,0.0842684255703852,28.34228046683957,321.68066987735057,687.5460842287731,638.3895026460484
16,0,0,11603,0,18,625,4485,625,9134,3,16,0,0,False,False,False,False,7135,0,1,1,0,0,0,0,0,923,36409,10820,5318,0,0,0,0,4011,371,8783,0,0,57,75,26,6,4,3,4,4,100,44,0,40421,1227,0,3420,0,37,79,69,1,0,0,0,380,0,2,7,0,81,16,8,53,True,1,0,0,1,0,0,0,0,0.7571936910132643,16,0.1163804862879728,3,9,0,2,0.0,1227.294921875,0,0,22,0,0,0,0,0,0,0.0,0,2,1926.4700713427933,0.0,0.0,7,0,0,0.0,0,0,5.333333333333333,1,0,0,0,0.0,0,0,0,0,4,3,0.0,0,1,18.0,5,1.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,53,19,0,0,36,0,0,0,16,0,0,5,0,1,0.1126440670889342,0,1,0,0,0,2,0,1,0,-0.1481485962867736,2.52342906838108,8,5,0,904.6450039326542,0.0,0.0,0.0,1858.484748182787,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.197864258372594,0.0,32.70229885070967,268.62602627368653,348.5442156555161,451.0425637675975
9,0,2,6423,0,9,463,976,463,2808,2,6,0,0,True,False,False,False,5180,0,0,0,1,2,0,2,1,320,11544,4248,3114,4,0,0,0,4588,225,3034,0,0,37,46,11,3,3,3,4,4,100,33,0,16133,735,0,672,0,10,79,22,1,0,0,0,72,0,1,2,0,46,7,8,16,True,0,0,0,0,0,0,0,1,0.8373485494768541,6,0.1159092799389691,2,2,0,1,0.0,735.8941650390625,0,0,14,0,0,0,0,0,0,0.0,0,0,1221.7945075915973,0.0,0.0,6,0,0,0.0,0,0,5.5,2,0,0,0,0.0,0,0,0,0,2,5,0.0,0,0,2.0,3,2.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,11,13,0,0,10,0,0,0,11,0,0,5,0,0,0.1139218463726433,0,1,0,0,2,1,0,0,0,1.64074444770813,2.27323153071044,8,8,0,766.3987493062261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,48.12593249899823,0.3437566607071302,72.04157446533715,282.2733265349407,219.70961428624292,305.50145517986533
7,0,0,6091,0,6,105,105,105,3693,4,4,0,0,False,False,False,False,4950,0,0,0,1,2,0,2,1,379,14943,5755,2484,0,0,0,0,2803,263,4970,0,0,41,49,14,2,4,3,3,4,100,34,0,17746,445,0,832,0,20,62,54,1,0,0,0,498,0,0,0,0,54,4,9,17,True,0,0,0,0,0,0,0,0,0.1844967127630802,4,0.1240380835604061,4,2,0,0,0.0,445.37884521484375,0,0,15,0,0,0,0,0,1,951.6186792896816,0,0,1233.1450565834607,0.0,0.0,5,0,0,0.0,0,0,2.25,0,0,0,1,0.0,0,1,0,0,3,6,0.0,0,0,11.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,17,14,0,0,13,0,0,0,9,0,0,5,0,0,0.1052703178136821,0,2,0,0,0,0,5,0,0,0.6337723731994629,2.6473247642184785,9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25.203847539323505,0.0973121526614807,-15.375320120513951,291.0119925341581,292.8609234347262,386.9131189820473
4,0,0,9023,0,7,0,83,0,10025,7,3,0,0,False,False,False,False,5350,0,0,3,0,0,0,0,0,571,17238,6221,6168,0,0,0,0,2546,506,8230,0,0,39,76,14,6,5,14,4,4,200,31,0,20551,800,0,692,0,10,47,195,1,0,766,766,132,0,0,11,0,38,4,3,25,False,0,0,0,0,0,0,0,1,0.704083842021453,3,0.1282734833277111,7,9,0,0,0.0,800.1296997070312,0,0,12,0,0,0,0,0,0,0.0,0,1,1754.062657358076,0.0,0.0,2,0,0,0.0,0,0,0.5714285714285714,1,0,0,0,0.0,0,0,0,0,0,1,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,47,9,0,0,22,0,0,0,4,0,0,1,0,0,0.0953952751264866,0,2,0,0,1,0,5,0,0,-0.5713755488395691,1.3266691713030023,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.01442405608384,-0.4104756446297337,-141.819335219573,201.23568477972697,256.30783376754954,497.0517993428884
15,0,0,6684,0,7,424,4983,424,4031,1,4,0,0,False,False,False,False,5420,0,0,0,0,0,0,0,0,1051,12524,6563,2584,0,0,0,0,3895,931,4494,0,0,38,41,14,5,2,4,3,14,200,46,0,18177,296,0,1274,0,8,64,30,1,0,1756,474,744,1,1,1,0,40,4,3,18,True,1,0,0,0,0,0,0,1,0.5874303510714318,4,0.1280843320444152,1,0,0,2,0.0,296.7481689453125,0,0,21,0,0,0,0,0,1,685.7260799882001,0,0,1158.3503306167788,0.0,0.0,9,0,0,0.0,0,0,15.0,0,0,0,0,0.0,0,0,0,0,6,1,1.0,0,0,0.0,2,3.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,3,16,0,0,14,1,0,0,15,0,0,10,0,0,0.1634584356876972,0,1,0,0,2,1,0,0,0,1.2409508228302002,2.1085430059286163,3,3,0,691.0810742897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,107.06605482122488,0.6215736128953548,171.19173255159563,302.6027538778886,412.7766767635902,405.2141978066968
15,0,0,12910,0,8,1385,7174,1385,20750,10,5,0,0,False,False,False,False,9130,0,2,1,1,2,0,2,1,478,26859,10112,13083,0,0,0,0,2305,777,12424,0,0,68,89,32,9,3,14,5,4,100,52,0,29406,1786,0,4957,0,19,114,317,1,0,241,226,3066,0,4,6,0,106,6,12,51,False,1,0,0,1,0,0,0,1,0.5908421576538155,5,0.1471027412238232,10,6,0,3,0.0,1786.4678955078125,0,0,20,0,0,0,0,0,1,827.8820608735485,0,0,2423.155710530368,0.0,1.0,9,0,0,0.0,0,0,1.7,2,0,0,1,0.0,0,1,0,0,3,2,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,1,0,13,0,0,0,1,0,0,36,18,0,0,46,0,0,1,17,0,0,6,0,1,0.0872825435740977,0,1,0,0,0,4,5,0,0,-0.1617682576179504,2.6443819935990773,12,2,0,772.6108095881635,0.0,0.0,0.0,1858.222404567892,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.698959861134371,-0.0742832989303037,-95.97402221795248,252.46417196445915,275.24438363641895,707.4989001118566
8,0,0,12267,0,18,0,164,0,8119,9,15,0,0,False,False,False,False,7550,0,0,2,0,1,0,0,1,586,17601,6433,11074,0,0,0,0,3107,314,9481,0,0,49,66,23,5,4,4,3,14,100,36,0,21607,1122,0,1915,0,27,59,248,1,0,898,898,749,0,0,10,0,95,16,12,44,False,0,0,0,0,0,0,0,0,0.7340315708608819,14,0.1500485165468983,9,4,0,0,0.0,1122.179931640625,0,0,15,0,0,0,0,0,0,0.0,0,1,2138.4927878695967,0.0,0.0,5,0,0,0.0,0,0,1.0,3,0,0,0,0.0,0,0,0,0,1,5,0.0,0,0,5.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,26,15,0,0,29,0,0,0,9,0,0,1,0,0,0.0734873387406766,0,1,1,0,0,0,5,0,0,0.1236704587936401,2.6819178563243,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-86.27571766739605,-0.1402857197843838,-53.81360210928963,229.7880090068207,214.49686555032284,597.7574520012595
1,0,0,3501,0,3,0,0,0,1789,3,1,0,0,False,False,False,False,2975,0,0,0,0,0,0,0,0,346,5864,3041,520,0,0,0,0,884,160,3284,0,0,14,26,7,1,3,7,2,4,200,20,0,6749,127,0,345,198,7,25,38,2,0,0,0,80,0,0,0,0,19,1,2,10,False,0,0,0,0,0,0,0,0,0.7004686114467218,1,0.0845154709646561,3,2,0,0,0.0,325.8000183105469,0,0,8,0,0,0,0,0,0,0.0,0,0,915.0390222,0.0,0.0,1,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,2,3,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,7,0,0,9,0,0,0,1,0,0,1,0,0,0.1124774779364309,0,0,0,0,0,0,0,0,0,0.3137882947921753,1.2734165865665283,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.04691802465078,-0.4589968185074851,-61.96457049851049,208.18784268018075,209.8926880060657,254.74323427165425
