assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
9,0,0,9763,0,15,0,1620,0,11657,8,10,1,0,False,False,False,False,9950,0,0,1,3,12,0,5,3,386,0,0,8823,0,0,0,0,23073,8640,9781,0,0,63,53,45,18,8,14,5,4,100,28,0,34881,0,0,3827,0,42,89,141,1,1,11807,5058,1056,0,0,7,0,100,7,14,52,False,0,0,0,1,0,600,0,0,0.7595647005201722,10,0.1513428285174723,8,2,0,1,0.0,0.0,0,0,34,0,0,0,0,0,0,0.0,0,0,1661.8206749105982,0.0,0.0,14,0,0,0.0,0,0,2.625,3,0,2,4,1.0,0,4,0,11,8,17,0.0,0,0,5.0,0,2.0,0,0.0,0,0,2,0,0,2,0,0,18,0,0,0,0,0,0,12,30,0,0,24,0,0,0,21,0,0,9,0,1,0.15389576951313,0,1,0,0,0,0,5,1,0,0.4817335605621338,3.622816122423356,14,7,1,484.1442919916473,0.0,0.0,0.0,1260.8883199311472,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,158.06759656190434,0.2888398292588475,62.17277324796694,433.4763737602155,494.6021026271191,709.8599853822752
11,0,0,15746,0,30,0,6346,0,19603,7,25,1,0,True,False,False,False,11875,0,0,1,4,9,0,2,2,618,0,0,19695,0,0,0,0,29123,9973,10181,0,0,74,125,62,16,7,14,5,4,100,27,0,41546,0,0,8253,0,64,105,189,1,0,12423,3361,690,0,0,6,0,210,12,26,107,False,0,0,0,2,0,300,0,0,0.8751492089379249,23,0.1386554162508957,7,7,0,1,1.0,0.0,0,0,41,0,0,0,0,0,1,947.8153948924634,0,3,2457.9741271068447,0.0,0.0,16,0,0,0.0,0,0,2.857142857142857,4,0,0,1,0.0,0,1,0,15,8,17,0.0,0,0,22.0,0,1.0,0,0.0,0,0,1,0,0,4,0,0,19,0,0,0,1,0,0,41,40,0,0,47,0,8,0,20,0,0,8,0,3,0.0657418514398757,0,2,3,0,0,0,0,3,0,0.9653195142745972,5.144824305625648,31,4,2,2354.6138973812376,0.0,0.0,0.0,1317.0993223823446,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.59966715012364,-0.1464620786809247,4.833248596470516,330.5649115828471,325.4875595219084,746.1754701864179
7,1,1,14393,0,20,180,959,180,17405,5,17,0,0,True,False,False,False,9150,0,1,1,3,8,0,2,1,617,0,0,10684,4,1,0,0,23594,8696,14149,0,0,57,87,42,17,8,14,5,4,200,16,0,35004,0,0,5893,0,43,91,155,1,0,11410,3876,789,0,1,7,0,121,18,15,67,True,0,0,0,1,0,675,0,0,0.8754830902491271,17,0.1933953928101714,5,7,0,1,0.0,0.0,0,0,26,0,1,0,1,1,1,762.0444852303865,1,0,1930.385849499874,0.0,0.0,5,0,0,0.0,0,0,3.0,3,0,0,0,0.0,0,0,0,4,6,13,0.0,0,1,19.0,12,2.0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,38,25,0,1,34,0,5,0,15,0,0,4,0,1,0.1241198528102274,0,2,1,0,0,1,10,1,0,0.5435260534286499,3.788521086088528,15,6,2,1830.052828777101,0.0,0.0,0.0,1744.756189232917,0.0,40.36511760340841,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.69932542934514,-0.1864912137090463,101.3268927819152,336.08824897265305,390.7612564583552,796.3796462755311
12,0,0,8107,0,9,686,1194,686,7902,3,6,0,0,False,False,False,False,6675,0,0,0,0,0,0,0,0,728,0,0,2768,0,0,0,0,12685,4206,10047,0,0,36,64,22,8,5,14,2,4,200,14,0,24730,0,0,3100,0,34,42,74,1,0,12045,782,580,0,0,2,0,67,7,8,33,True,1,0,0,0,0,0,0,0,0.4985073441387282,6,0.174427099316462,3,2,0,1,0.0,0.0,0,0,21,0,0,0,0,0,1,723.057766611481,0,0,1373.2093305171295,0.0,0.0,9,0,0,0.0,0,0,4.0,0,0,0,0,0.0,0,0,0,7,7,19,0.0,0,0,12.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,19,0,0,15,0,0,0,12,0,1,6,0,1,0.0706755569233658,0,1,0,0,4,0,5,1,0,3.46826171875,2.944979837837957,8,8,0,999.1915613878108,0.0,0.0,0.0,1301.862537191569,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,41.20274945895746,0.2621595935882765,78.64787807648297,308.5181483878035,217.9420088030539,585.3149859514255
12,0,0,8782,0,11,907,4651,907,8755,3,7,0,0,False,False,False,False,8430,0,0,0,1,5,0,5,1,928,0,0,9770,0,0,0,0,16249,5692,6808,0,0,38,75,43,12,6,14,2,4,100,20,0,24141,0,0,4485,0,35,78,101,1,0,7891,1456,669,1,2,0,0,82,8,12,44,True,0,0,0,0,0,0,0,0,0.3697938063085054,7,0.1387421185184293,3,4,0,2,0.0,0.0,0,0,26,0,0,0,0,0,1,599.5137606831759,2,2,1572.8865300558289,0.0,0.0,9,0,0,0.0,0,0,5.666666666666667,0,0,1,1,0.0,0,3,0,11,7,16,1.0,0,0,27.0,3,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,26,20,0,2,24,0,0,0,17,0,0,11,0,1,0.0635404692047798,0,2,0,0,0,2,0,1,0,0.965520977973938,3.157378116518902,12,8,1,756.3887904299424,0.0,0.0,0.0,1328.9838147177495,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,47.56859351916778,0.0,-28.87684466239776,331.7213225683104,272.6706547514124,657.9495597583046
2,0,0,3742,0,7,0,0,0,4900,4,4,1,0,False,False,False,False,4250,0,0,0,1,4,0,3,2,318,0,0,4452,0,0,0,0,8889,3502,5647,0,0,28,36,20,6,3,14,3,4,200,16,0,14099,0,0,2012,0,18,41,55,1,0,5209,1171,98,0,0,2,0,22,4,1,14,False,0,0,0,0,0,0,0,0,0.4525520297337189,4,0.1900845068186997,4,0,0,0,0.0,0.0,0,0,18,0,0,0,0,0,0,0.0,0,0,912.6785329247988,0.0,0.0,5,0,0,0.0,0,0,1.5,1,0,1,0,0.0,0,1,1,3,6,11,0.0,0,0,0.0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,5,16,0,0,6,0,0,0,6,0,0,6,1,0,0.2086937487038369,0,0,0,0,0,0,0,0,0,-0.0679831504821777,1.505303118162526,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.37761936753044,-0.2629622494032902,-63.24242098149131,278.6742438051369,307.20564786539387,670.4222548536885
15,0,0,7045,0,11,0,96,0,13342,11,7,0,0,True,False,False,False,6825,0,0,2,0,2,0,0,1,272,0,0,7553,0,0,0,0,11581,4374,13560,0,0,35,52,34,7,7,14,4,4,100,20,0,19695,0,0,3121,0,34,40,224,1,0,8113,1422,843,0,0,10,0,70,9,13,33,False,0,0,0,0,0,450,0,0,0.557724577199965,7,0.2087281419310362,11,10,0,1,0.0,0.0,0,0,22,0,0,0,0,0,0,0.0,0,4,1476.474508419691,0.0,0.0,11,0,0,0.0,0,0,1.5454545454545454,5,0,0,0,0.0,0,1,1,7,3,15,1.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,54,18,0,0,12,0,2,0,17,0,1,11,0,0,0.0782224105998104,0,0,1,0,0,0,0,1,0,0.3297240734100342,2.874557461863922,13,10,0,339.74189835172115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-31.4939402846651,-0.2844613961195557,-116.66980975132064,302.4231014173905,235.5340359869921,892.233487600138
10,0,1,11336,0,4,0,2786,0,12208,9,2,0,0,False,False,False,False,7200,0,1,0,0,2,0,0,1,299,0,0,11582,8,0,0,0,18477,5227,12165,0,0,59,74,39,9,6,14,4,4,200,26,0,26961,0,0,5893,0,45,76,227,1,0,8484,1671,1398,0,0,4,0,76,3,16,32,True,0,0,0,0,0,0,0,0,0.5325169173846519,2,0.1801998058281153,8,9,0,0,0.0,0.0,0,0,27,0,0,0,0,0,1,900.4193161860303,0,0,1937.2983683958428,0.0,0.0,8,0,0,0.0,0,0,1.3333333333333333,0,0,0,1,0.0,0,0,0,7,5,15,0.0,0,0,38.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,50,22,0,0,31,0,6,0,12,0,0,5,0,1,0.0607995829366795,0,1,1,0,0,0,5,1,0,-0.0214111804962158,2.3609356705839164,16,4,1,0.0,0.0,0.0,0.0,1860.2489903213789,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,34.50165503176781,-0.1858257901172413,24.12638175022184,287.2247295912161,213.6377167047885,778.7958863813585
12,0,0,9920,0,15,264,1148,264,18887,10,7,0,0,False,False,False,True,7925,0,0,2,0,2,0,0,1,433,0,0,10846,4,0,0,0,18103,4900,12006,0,0,64,66,38,6,6,14,5,4,200,27,0,25334,0,0,3205,0,41,271,273,1,0,7230,1575,813,1,1,11,0,146,9,21,67,False,0,0,0,0,0,0,0,0,0.6836241621704995,7,0.1843459648862843,10,14,0,2,0.0,0.0,0,0,37,0,0,0,0,0,1,715.6224672073657,0,3,2049.307916040212,0.0,0.0,9,0,0,0.0,0,1,1.4,2,0,0,0,0.0,0,1,1,7,7,12,0.0,0,0,2.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,78,31,0,0,31,0,6,1,14,0,0,6,0,0,0.0539751602184263,0,2,1,0,2,1,0,2,0,0.440733790397644,4.280429188202808,21,10,0,925.9336513916317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-48.66033026051282,-0.2635035934684809,-98.90168208183653,258.7898069631004,189.57619641204604,692.8973381138968
12,0,0,12770,0,18,800,800,800,19475,11,16,1,0,False,True,False,False,11400,0,0,2,2,12,0,4,2,325,0,0,11801,0,0,0,0,18992,10646,15084,0,0,46,58,42,18,8,14,5,4,100,27,0,29887,0,0,6940,0,33,71,260,1,0,10894,3399,2021,1,1,9,0,86,16,8,49,False,0,0,0,0,0,825,0,0,0.741496804570423,16,0.1858097809050856,10,2,0,0,1.0,0.0,0,0,29,0,0,0,0,0,1,688.369005,0,2,2061.5752096,0.0,0.0,13,0,0,0.0,1,0,2.1818181818181817,6,0,2,2,0.0,0,3,0,7,7,9,1.0,0,0,4.0,0,2.0,0,0.0,0,0,1,0,0,1,0,0,21,0,0,0,0,0,0,12,29,0,1,33,0,5,0,24,0,0,12,0,2,0.1260542787109843,0,0,0,0,2,1,0,1,0,-0.0213319063186645,2.5147444015892937,8,8,1,0.0,0.0,0.0,0.0,1267.7944581,0.0,24.092526200000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.44593503866317,0.058207917635604,21.827969113351525,399.1025872685192,408.79420555484734,841.3081375462033
