assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
13,0,0,5737,0,8,637,637,637,3048,1,5,0,0,False,False,False,False,5450,0,0,0,0,0,0,0,0,483,7847,2678,2692,0,0,0,0,1993,703,3621,0,0,43,36,20,4,4,7,2,4,200,16,0,9841,787,0,13071,9436,7,116,14,5,0,0,0,90,0,2,0,0,40,6,2,18,True,1,0,0,0,0,0,0,1,0.6322845068430392,5,0.0993388139469028,1,4,0,0,0.0,10224.224609375,0,0,1,0,0,0,0,0,1,719.2554432999999,0,0,1139.9371816,0.0,0.0,0,0,0,0.0,0,0,13.0,1,0,0,0,0.0,0,0,0,0,12,4,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,23,19,0,0,13,0,0,0,13,0,0,9,0,0,0.0607329695153934,0,2,0,0,3,2,5,0,0,1.003406047821045,2.126602707441771,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68546058275182,0.4210758344826323,-6.368771996549815,286.8052777619829,177.9571745482225,337.0712055033472
25,0,0,11003,0,9,1320,7926,1320,4376,3,7,0,0,False,False,False,False,6875,0,1,0,0,1,0,0,1,558,9138,4651,3933,0,0,0,0,2770,519,3835,0,0,48,73,25,6,2,4,6,7,200,28,0,16361,1921,0,21470,16019,5,105,66,5,0,4452,0,811,1,2,2,0,60,7,1,39,True,1,0,0,1,0,0,0,0,0.4856854319746536,7,0.074727750439996,3,4,0,1,0.0,17941.40625,0,0,2,0,0,0,0,0,0,0.0,0,3,1637.350081732268,0.0,0.0,1,0,0,0.0,0,0,8.666666666666666,3,0,0,1,0.0,0,0,0,0,7,1,0.0,0,0,0.0,3,3.0,0,0.0,0,0,0,0,0,0,1,0,14,0,0,0,0,3,0,24,16,0,0,31,1,2,0,26,0,0,4,0,1,0.0523041882822055,0,0,0,0,0,2,0,0,0,0.3941183090209961,2.227921854773111,1,0,0,940.1149611866764,0.0,0.0,0.0,1414.1859302652688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.5487827178189555,0.6596023734016563,94.98274176983853,266.002979362368,189.4524594714757,314.4471092310896
20,0,0,11329,0,15,372,2113,372,3644,4,12,0,0,False,False,False,False,8175,1,1,0,0,0,0,0,0,659,5830,3088,3811,0,0,0,0,2468,181,3822,0,0,45,62,32,9,4,3,3,4,200,23,0,8313,1978,0,23716,17837,10,96,91,6,0,14,5,231,0,4,3,0,78,13,8,35,True,1,0,0,0,0,0,0,0,0.855315349200023,12,0.058539593959477,4,0,0,4,0.0,19815.8984375,0,0,2,0,0,0,0,0,1,1114.313779516334,2,1,1924.197308152144,0.0,0.0,1,0,0,0.0,0,0,5.0,3,0,0,0,0.0,0,0,0,0,3,3,0.0,0,0,0.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,0,7,12,0,0,23,0,0,0,20,0,0,3,0,2,0.0328739821753945,0,0,0,0,0,4,0,0,0,-0.0920989513397216,2.4451751230058467,8,2,0,458.7584415337564,0.0,0.0,0.0,1391.106381401502,0.0,17.743251467857363,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-25.413194266943407,0.2494546676509782,55.3477543850608,257.96730818456786,102.1516864030756,245.245120134368
3,0,0,7033,0,4,1400,1400,1400,6082,3,1,0,0,False,False,False,False,5625,0,0,3,0,1,0,0,1,671,20326,5147,1856,0,0,0,0,3262,548,7594,0,0,62,12,19,3,3,7,1,4,100,25,0,23588,274,0,7300,4963,25,177,73,5,0,0,0,316,0,0,11,0,15,2,2,7,False,0,0,0,0,0,0,0,1,0.0,1,0.1017616322157895,3,1,0,0,0.0,5238.23388671875,0,0,2,0,0,0,0,0,0,0.0,0,0,1472.0984850999998,0.0,0.0,1,0,0,0.0,0,0,1.3333333333333333,1,0,0,0,0.0,0,0,0,0,13,1,0.0,0,0,16.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,10,25,0,0,5,0,5,0,4,0,0,1,0,0,0.1341584614777408,0,0,0,0,2,0,0,0,0,-0.667213499546051,0.6412349448492493,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-76.25848483389626,-0.3668232835409227,-75.89166155035534,236.9678411674361,232.1583803387884,398.0847789271325
18,0,0,8803,0,13,643,966,643,4960,1,4,0,0,False,False,False,False,7150,0,1,0,1,2,0,2,1,1431,16759,6624,3226,2,0,0,0,1440,622,3660,0,0,78,37,35,5,4,7,2,4,200,38,2,18200,1286,0,17857,12239,16,188,0,5,0,0,0,841,0,4,2,0,55,7,5,30,True,1,0,1,1,0,0,0,1,0.6844401642383099,4,0.0780781671572499,1,5,0,0,0.0,13525.6083984375,0,0,5,0,0,0,0,0,1,797.7268645147359,0,2,1437.1606706159237,0.0,0.0,3,0,0,0.0,0,0,20.0,5,0,0,0,0.0,0,0,0,0,12,3,0.0,0,0,13.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,34,31,0,0,24,0,0,1,20,0,0,6,1,1,0.0888846462523156,0,1,0,0,1,4,0,0,0,0.2662379741668701,2.3145982581998448,5,5,0,0.0,0.0,0.0,0.0,1282.5073504003176,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61.913745497826525,0.5009878260107339,40.45476695036676,323.2206457479251,302.5131489394815,322.6779089364136
18,0,0,11884,0,6,2097,2954,2097,17381,13,3,0,0,False,False,False,True,8350,0,0,3,0,2,0,0,1,449,43655,17983,25225,0,0,0,0,4929,1362,11744,0,0,119,33,39,9,7,21,6,4,200,55,0,48682,0,0,23471,15248,20,353,396,5,0,97,97,1303,1,1,11,0,71,4,5,29,False,0,0,0,0,0,0,0,1,0.6724412851563913,3,0.2034035431141611,13,4,0,2,0.0,15248.4375,0,0,7,0,0,0,0,0,1,800.367216885878,0,1,2055.488463286443,0.0,1.0,0,0,0,0.0,0,1,1.5384615384615383,1,0,0,0,0.0,0,1,0,0,11,2,1.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,17,0,0,0,0,22,0,20,56,0,0,26,1,6,1,20,0,0,10,0,0,0.1428741936469101,0,2,0,0,5,1,0,0,0,-0.242555558681488,2.0773416433578507,5,2,1,815.5767829719668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1167605677612381,0.0291901419403095,-89.9932076019743,278.38638368473204,567.514739603498,1117.1943024814668
1,0,0,6781,0,5,0,208,0,6506,3,2,0,0,False,False,True,False,4475,0,0,2,0,0,0,0,0,642,2569,1056,1562,0,0,0,0,3463,194,5082,0,0,40,44,14,3,2,21,2,4,200,19,0,10593,1329,0,11717,9891,30,95,52,5,0,4560,0,238,0,1,10,0,42,3,2,23,False,0,0,0,0,0,0,0,0,0.2645067371071044,2,0.0617965378469061,3,5,0,0,0.0,11221.765625,0,0,2,0,0,0,0,0,1,857.8637230378554,0,0,1502.0933831076509,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,2,12,0.0,0,0,24.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,27,8,0,0,21,0,2,0,1,0,0,1,0,0,0.0238601859112251,0,1,0,0,0,1,0,0,0,-0.2230929732322693,1.7005273064546034,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.65673341891616,-0.639108067977688,-75.33486351286997,196.48578664889047,49.93031781075688,274.9363019931517
19,0,0,11365,0,5,1819,3147,1819,8329,9,2,0,0,False,False,False,False,7775,0,1,1,0,1,0,0,1,409,13192,6412,10564,0,0,0,0,3856,633,4806,0,0,80,92,36,9,4,4,6,7,200,47,0,17048,2258,0,33483,27901,12,191,280,5,0,0,0,313,1,5,7,0,58,3,6,23,True,1,0,0,2,0,0,0,1,0.8061494324315354,2,0.0842955887244969,9,0,0,1,0.0,30160.05078125,0,0,6,0,0,0,0,0,0,0.0,0,1,1989.014932698127,0.0,0.0,3,0,0,0.0,0,0,2.2222222222222223,1,0,0,0,0.0,0,0,1,0,7,2,0.0,0,1,0.0,8,1.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,1,16,0,5,25,0,0,21,1,4,0,20,0,0,6,0,2,0.0569396536687856,0,1,0,0,2,5,5,0,0,-0.3193378448486328,1.7656407197920665,8,5,0,607.2610639048468,0.0,0.0,0.0,1429.959842404742,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22.594098848236527,0.0904970581371289,17.01344692978024,267.5696352254446,212.54742387807016,473.1186199409101
25,0,0,13294,0,14,944,944,944,30875,9,8,0,0,False,True,False,False,9550,0,0,2,0,1,0,0,1,854,15613,8638,8771,0,0,0,0,1981,1194,24866,0,0,94,56,34,10,9,7,6,4,100,65,0,19732,1767,0,40233,28071,26,241,330,10,0,2137,2133,1477,0,1,9,0,125,10,18,59,False,2,0,0,0,0,0,0,1,0.5700571871221638,8,0.1956775003562656,9,4,0,1,1.0,29839.79296875,0,0,13,0,0,0,0,0,1,960.3791231,0,6,2389.6347959,0.0,0.0,1,0,0,0.0,0,0,2.888888888888889,2,0,0,0,0.0,0,0,1,0,4,3,0.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,27,41,0,0,49,0,0,0,26,0,0,7,0,0,0.0712957222205927,0,0,0,0,2,1,0,0,0,0.1710413694381714,3.153077996665913,18,6,2,1138.2407698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.690940563442103,0.1506506352425348,-18.705787209281404,256.15629679072333,300.44758355202856,881.7079511961421
21,0,0,13617,0,15,473,2629,473,22160,12,9,0,0,False,False,False,False,9375,0,0,2,0,1,0,0,1,391,25035,7167,9997,0,0,0,0,4466,819,19966,0,0,119,41,28,11,6,4,6,7,200,42,0,31365,1215,0,31128,19972,28,256,310,6,0,1862,1862,1328,0,0,10,0,93,13,9,49,False,1,0,0,1,0,150,0,1,0.5900265406016718,9,0.170148662201604,12,9,0,3,0.0,21187.89453125,0,0,5,0,0,0,0,0,1,902.2367665891236,0,2,2241.028932556859,0.0,0.0,2,0,0,0.0,0,0,1.8333333333333333,3,0,0,0,0.0,0,1,0,0,10,0,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,48,46,0,0,40,0,0,0,22,0,0,3,0,1,0.0652865548185089,0,1,0,0,0,0,5,0,0,-0.1012841463088989,2.5076021266823822,9,5,0,750.7801890667974,0.0,0.0,0.0,1289.7237819503491,0.0,42.267596560319134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.527203909245628,-0.0267734160538231,-38.92854694225888,275.0700765369792,263.7181481301581,837.8205085722882
