assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,9931,0,6,1420,2920,1420,5730,8,2,0,0,False,False,True,False,9300,0,0,1,1,6,0,2,1,373,59757,23239,5816,0,0,0,0,4862,472,9429,0,0,81,49,35,17,5,7,4,4,100,29,0,64619,0,0,1667,577,33,178,182,4,0,0,0,1287,0,1,8,0,51,2,3,23,False,0,0,0,0,0,450,0,1,0.0,2,0.1517356295912527,8,11,0,1,0.0,577.0399780273438,0,0,13,0,0,0,0,0,1,642.7728763,0,0,1582.0476738,0.0,0.0,5,0,0,0.0,0,1,1.625,2,0,0,3,0.0,0,3,0,0,3,4,1.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,0,61,13,0,1,20,0,0,0,13,0,0,6,0,0,0.3056784232033964,0,0,0,0,5,1,0,1,0,-0.0145118236541748,1.9452897008789105,3,1,0,942.3878463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87.11494747118662,0.0379255322033899,-37.28079815593228,360.4821835932211,899.2902196067816,627.0228239186454
19,0,2,10238,0,5,1393,5003,1393,2836,1,2,0,0,False,False,True,False,7535,0,0,0,2,4,0,2,1,1127,53861,16594,1043,0,0,0,0,3652,285,5057,0,0,78,30,21,26,3,7,2,4,100,17,0,57589,0,0,922,147,31,95,33,2,0,75,75,255,1,4,2,0,43,2,2,21,True,0,0,0,1,0,0,0,1,0.0,2,0.0868558829839897,1,2,0,1,0.0,147.61016845703125,0,0,11,0,0,0,0,0,1,750.9048925,0,1,1378.3526955,0.0,0.0,6,0,0,0.0,0,1,23.0,3,0,0,3,0.0,0,0,0,0,0,1,1.0,0,0,7.0,0,4.0,0,0.0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,18,12,0,0,19,0,2,0,23,0,0,6,0,1,0.1981197242850815,0,1,0,0,3,4,0,1,0,-0.0603399872779846,1.894985457289499,5,4,0,487.2483757,0.0,0.0,0.0,1321.3067387,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,153.09579376086472,0.9141346798345634,195.7554121531444,358.6455060550937,738.0113981864375,276.7216266527771
12,0,1,12788,0,10,0,2198,0,9968,7,6,0,0,False,False,False,False,9985,0,0,2,2,9,0,4,1,472,62715,21156,3935,0,0,0,0,2664,925,13530,0,0,88,54,36,36,9,3,5,4,100,34,0,65380,0,0,559,0,46,190,187,1,0,0,0,412,0,0,7,0,56,8,3,27,False,0,0,0,1,0,525,0,1,0.8263929930831244,6,0.1469424108225195,7,0,0,0,0.0,0.0,0,0,13,0,0,0,0,0,0,0.0,0,2,1921.66081868455,0.0,0.0,4,0,0,0.0,1,0,3.0,2,0,1,2,0.0,0,3,0,0,1,7,0.0,0,0,4.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,5,14,0,0,21,0,0,0,21,0,0,8,0,1,0.1681358039819147,0,0,0,0,0,0,0,1,0,-0.0178140997886657,1.778905493848264,3,2,0,0.0,0.0,0.0,0.0,1504.610958903068,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,60.22915119809148,0.3746759016988583,78.1511484960202,343.64024784146955,689.4661051095158,558.2046475476824
3,0,0,7801,0,9,0,804,0,7315,10,5,1,0,False,False,False,False,8355,0,0,2,1,8,0,4,3,290,28298,14921,4992,0,0,0,0,2204,662,13597,0,0,69,46,25,27,4,3,5,4,200,25,0,30507,0,0,0,0,17,142,184,0,1,4,0,224,0,0,10,0,55,6,4,24,False,0,0,0,0,0,975,0,1,0.0,5,0.1661835000870193,10,2,0,0,0.0,0.0,0,0,9,0,0,0,0,0,1,661.7382861,0,1,1643.8592485,0.0,0.0,0,0,0,0.0,0,0,1.1,2,0,1,0,0.0,0,6,0,0,2,4,0.0,0,0,0.0,0,1.0,0,0.0,0,0,2,0,0,1,0,0,10,0,0,0,0,0,0,15,9,0,1,20,0,0,0,11,0,0,3,0,0,0.2092307433718296,0,1,0,0,0,0,5,0,0,-0.2653805017471313,2.012985938289602,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-132.2010994544099,-0.1094984258319242,-163.26215291539907,336.41566363094864,568.8078227215692,686.664628391997
15,0,0,12924,0,14,470,4159,470,7970,8,9,1,0,False,False,True,False,9925,0,0,3,2,5,0,2,2,429,74318,32105,13006,0,0,0,0,3545,181,7658,0,0,114,68,40,50,6,3,5,4,100,35,0,78468,0,0,1182,0,32,194,198,1,0,603,603,503,0,1,10,0,89,11,7,44,False,0,0,0,1,0,0,0,1,0.7796779315550698,9,0.1492534729798751,8,7,0,2,0.0,0.0,0,0,16,0,0,0,0,0,1,785.0399066047986,0,4,2312.114718563703,0.0,0.0,5,0,0,0.0,0,1,2.5,1,0,0,2,0.0,0,1,0,0,2,0,0.0,0,0,3.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,41,17,0,1,35,0,5,0,20,0,0,8,0,1,0.2381107863449028,0,2,0,0,3,1,0,1,0,-0.0740670561790466,2.333687349217781,7,6,0,530.0712701032714,0.0,0.0,0.0,1969.9302041176304,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-4.15204311573414,0.0778508084200151,-8.070533806208234,271.46576896059275,853.5043629780992,549.3153042116267
4,0,0,7217,0,10,111,809,111,5055,9,5,0,0,False,False,False,False,5500,0,0,1,0,1,0,0,1,323,25493,14168,6568,0,0,0,0,2624,269,6919,0,0,54,36,20,19,4,4,3,14,200,24,0,28798,0,0,672,0,32,161,200,1,0,679,679,728,0,0,8,0,62,6,7,34,False,0,0,0,0,0,0,0,1,0.5545508595340212,5,0.1463988656325149,9,2,0,0,0.0,0.0,0,0,9,0,0,0,0,0,1,923.6465915743536,0,0,1521.3689025827398,0.0,0.0,2,0,0,0.0,0,0,0.5555555555555556,0,0,0,0,0.0,0,1,0,0,3,12,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,11,0,1,29,0,0,0,5,0,0,2,0,0,0.2373568148952375,0,1,0,0,0,0,0,0,0,0.2524858713150024,2.4600352170585187,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-79.23127638232005,-0.5915724966325538,-108.29720505019952,239.62629930262648,596.1867621062878,560.6529741418924
8,0,0,7675,0,4,1051,1618,1051,4248,6,2,0,0,False,False,False,False,6300,0,1,0,0,3,0,0,1,364,22122,12136,4308,0,0,0,0,2315,379,6241,0,0,52,52,24,19,2,3,2,4,100,23,0,24836,0,0,668,0,17,115,100,1,0,398,398,116,1,3,1,0,52,2,10,19,True,0,0,0,0,0,0,0,1,0.0525541915581274,2,0.1420210306642823,6,2,0,1,0.0,0.0,0,0,10,0,0,0,0,0,1,749.903811750221,1,0,1404.0492429627095,0.0,0.0,3,0,0,0.0,0,0,1.8333333333333333,3,0,0,2,0.0,0,0,0,0,6,4,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,34,0,0,17,0,0,0,11,0,0,4,0,1,0.1822011191976464,0,2,0,0,1,3,0,0,0,0.1105246543884277,2.251313631653918,10,7,0,1195.069898250526,0.0,0.0,0.0,1265.8536384532538,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64.44218424211144,0.0427335439271296,50.34011474615867,322.16818766663005,551.9037198188787,455.7959795267643
16,0,2,11112,0,11,1853,8436,1853,5748,4,9,0,0,False,False,False,False,8325,0,1,0,1,3,0,2,1,381,52505,21759,5933,6,0,0,0,4867,954,7488,0,0,69,61,30,29,4,4,5,3,100,33,6,62522,0,0,692,0,29,178,96,1,0,5150,486,497,2,4,4,0,65,9,6,30,True,0,0,3,1,0,150,0,1,0.6190161000834978,9,0.1339070501598064,4,0,0,0,0.0,0.0,0,0,16,0,0,0,0,0,1,958.4353990792016,0,2,1569.4409880393514,0.0,0.0,9,0,0,0.0,0,0,4.75,2,0,0,1,0.0,0,0,0,0,6,6,0.0,0,0,0.0,4,2.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,41,0,1,20,1,0,0,19,0,0,7,0,1,0.2258599651977566,0,0,0,0,2,4,0,0,0,0.0900243520736694,2.495869214359123,6,5,0,0.0,0.0,0.0,0.0,1420.933377253289,0.0,21.028388055241976,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-48.66700983476856,0.038230172690313,90.8731204848742,363.53071211218713,886.9400064152636,532.1640038491581
8,0,1,6679,0,4,2284,3646,2284,3076,3,1,1,0,False,False,True,False,7450,0,2,0,1,6,0,3,2,620,31077,9915,3940,0,0,0,0,2540,404,3312,0,0,40,32,15,20,4,3,3,4,200,20,0,33814,0,0,0,0,24,116,52,0,0,196,196,231,0,6,0,0,29,2,1,13,True,0,0,0,0,0,0,0,1,0.4786003538614444,1,0.1139012472118449,3,0,0,0,0.0,0.0,0,0,8,0,0,0,0,0,1,661.5195393638407,1,0,1140.6830284778464,0.0,1.0,6,0,0,0.0,0,2,4.666666666666667,0,0,1,2,0.0,0,0,0,0,9,7,1.0,0,0,17.0,0,2.0,0,0.0,0,0,1,0,0,0,0,0,12,0,0,0,1,0,0,4,20,0,0,12,0,0,1,14,0,0,10,1,0,0.158259405312295,0,2,0,0,8,6,5,0,0,1.3122613430023191,1.535492302452225,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102.72792447553786,0.5260006373555446,-44.97305449389906,428.84831963597554,553.1422702430907,393.7114770606252
16,0,0,8382,0,12,1492,9226,1492,5185,7,9,0,0,False,False,False,False,6900,0,0,0,0,2,0,0,1,440,28145,10658,6552,0,0,0,0,3327,471,6044,0,0,55,50,27,30,4,4,4,3,200,28,0,31473,0,0,597,0,22,111,169,1,0,0,0,59,1,2,3,0,77,10,10,32,True,0,0,0,1,0,0,0,1,0.7170461511767767,9,0.1220525695621778,7,6,0,3,0.0,0.0,0,0,14,0,0,0,0,0,1,837.8741106,0,0,1660.565978,0.0,0.0,7,0,0,0.0,0,0,2.571428571428572,1,0,0,2,0.0,0,0,0,0,4,7,0.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,0,1,0,13,0,0,0,1,0,0,31,14,0,0,23,0,0,0,18,0,0,10,0,1,0.1130553507381293,0,1,0,0,1,2,0,0,0,0.2160118818283081,2.7874227234229854,10,4,0,466.502351,0.0,0.0,0.0,1362.7152402,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,31.43506532806973,0.1806612949889064,39.23963327159049,305.6066466032342,402.1520426453058,457.2898698759201
