assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
12,0,0,12392,0,7,1843,3865,1843,7567,4,3,0,0,False,True,False,False,7775,1,1,0,0,1,0,0,1,601,28435,7232,5775,0,0,0,0,1945,427,8487,0,0,74,54,94,9,2,4,5,3,200,16,0,30640,607,0,5967,1538,31,101,114,2,0,258,258,503,1,6,3,0,59,5,8,21,True,1,0,0,1,0,0,0,0,0.1649261526111337,3,0.1171034915725068,4,1,0,2,0.0,2145.697265625,0,0,13,0,0,0,0,0,0,0.0,0,0,1813.083309573935,0.0,0.0,2,0,0,0.0,0,0,3.25,2,0,0,0,0.0,0,0,0,0,14,2,0.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,49,0,0,18,0,2,0,13,0,1,3,0,1,0.090874350170426,0,2,0,0,3,6,5,0,0,0.066419243812561,1.966823669053753,8,2,0,1043.9770852958595,0.0,0.0,0.0,1602.218140547675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.391369152177,0.0992783944618072,94.57921712394833,289.5288910487837,262.06186858101705,488.64825754101497
14,1,0,13235,0,17,1265,2863,1265,8965,6,11,0,0,False,False,False,False,10305,0,3,0,1,3,0,2,1,1034,36786,13701,13971,4,0,0,0,1878,416,6880,0,0,247,98,117,11,3,14,5,4,200,39,0,40018,1413,0,11704,6605,27,178,134,4,0,1353,1353,853,0,4,3,0,97,14,11,38,True,1,0,0,1,0,450,0,0,0.8032747624150597,11,0.1337267194382904,6,2,0,2,0.0,8018.49365234375,0,0,48,0,0,0,0,0,0,0.0,0,2,2312.114718563703,0.0,0.0,10,0,0,0.0,0,0,2.833333333333333,5,0,0,1,1.0,0,1,0,0,11,4,0.0,0,0,17.0,4,2.0,0,0.0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,16,69,0,0,27,0,0,0,17,0,0,3,0,1,0.1399149741992257,0,0,0,0,1,4,0,0,0,0.0799918174743652,2.5203632989326046,11,7,1,1503.5693359011184,0.0,0.0,0.0,1460.3962316511197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.15204311573414,-0.0778508084200151,8.070533806208234,275.61781207632686,401.476619022018,563.2246486493361
8,0,1,6348,0,8,193,284,193,3407,1,3,0,0,False,False,False,False,5125,0,0,0,0,1,0,0,1,447,3530,1955,2985,0,0,0,0,1326,500,3880,0,0,57,59,65,3,2,14,2,4,200,16,0,5257,540,0,2215,199,8,61,14,4,0,400,400,300,0,0,0,0,49,5,7,25,True,0,0,0,0,0,0,0,0,0.5851954722976024,3,0.1201077815286758,1,0,0,1,0.0,740.320068359375,0,0,18,0,0,0,0,0,1,758.9822921293965,0,1,1174.1451089656975,0.0,0.0,3,0,0,0.0,0,0,9.0,0,0,0,0,0.0,0,0,0,0,12,2,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,8,44,0,0,13,0,2,0,9,0,0,6,0,0,0.0582696083556147,0,1,0,0,2,0,0,0,0,0.7114567756652832,2.521775075325865,7,7,0,917.7253970800422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.67472679555744,0.3066060551213498,28.05445404360351,266.2873588728924,145.89338122857563,366.1898318332655
18,0,0,10920,0,17,1210,4596,1210,4583,2,11,0,0,False,False,False,True,8575,0,1,0,2,4,0,2,1,736,18579,6345,6426,0,0,0,0,4257,1262,5200,0,0,166,52,97,5,6,14,4,4,200,26,0,23956,1027,0,3120,1632,18,109,55,2,0,1119,869,331,1,3,2,0,77,8,2,51,True,0,0,0,1,0,0,0,1,0.6948841265550065,11,0.1126340982535229,2,0,0,3,0.0,2660.70703125,0,0,29,0,0,0,0,0,1,864.9663407385331,0,0,1749.9015509749142,0.0,0.0,7,0,0,0.0,0,0,11.0,2,0,0,1,0.0,0,0,0,0,13,10,0.0,0,0,0.0,1,2.0,0,0.0,0,0,0,0,0,0,1,0,13,0,0,0,1,0,0,8,46,0,0,40,0,0,1,22,0,0,9,0,1,0.0851647474677496,0,2,0,0,2,3,0,0,0,0.1838666200637817,2.6454758866855235,2,1,0,669.6738653180964,0.0,0.0,0.0,1585.2268835398374,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,82.18748072991549,0.4114517182974492,73.37555642971178,315.61775557733506,290.6563513339565,410.0116372834082
12,0,1,10715,0,9,1258,2568,1258,4767,2,5,0,0,False,False,False,False,6925,0,1,0,0,2,0,0,1,348,21709,3116,1441,0,0,0,0,2498,274,9706,0,0,158,53,83,4,2,14,4,4,200,17,0,24528,645,0,4393,658,19,135,28,2,0,320,320,192,0,5,1,0,46,7,4,20,True,0,0,0,1,0,0,0,0,0.5136149846173378,5,0.1274737761927847,2,0,0,1,0.0,1304.189208984375,0,0,20,0,0,0,0,0,1,738.1185691911166,0,0,1478.2596360443104,0.0,0.0,5,0,0,0.0,0,0,7.0,5,0,0,1,0.0,0,0,0,0,13,4,0.0,0,0,0.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,36,0,0,14,0,0,0,14,0,0,3,0,1,0.0621693957814775,0,2,0,0,3,5,5,0,0,0.549580454826355,1.900461815583984,4,4,1,922.7300193116242,0.0,0.0,0.0,1371.5051536946787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75890176564728,0.4464709607887965,144.4942382189196,316.5073229300942,150.5824785933123,460.31156057324927
18,0,1,8839,0,10,2186,2186,2186,2981,2,6,0,0,False,False,False,False,6700,0,1,0,0,2,0,0,1,685,26366,5784,3820,1,0,0,0,3682,877,3220,0,0,98,49,79,5,4,3,3,4,100,15,0,30347,717,1,3441,2602,18,94,30,4,0,299,299,40,1,6,2,0,51,8,5,19,True,0,0,0,0,0,0,0,0,0.3509740820631432,6,0.0952723431999683,2,0,0,0,0.0,3320.097412109375,0,0,18,4,0,0,0,0,1,808.0994282169011,0,0,1319.1961816875807,0.0,0.0,5,0,0,0.0,0,1,10.0,0,0,0,1,0.0,0,0,0,0,12,9,0.0,0,0,7.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,18,0,0,0,1,5,0,5,42,0,0,10,1,2,0,20,0,0,9,0,0,0.1024685020005501,0,2,0,0,5,6,0,0,0,0.6890795230865479,2.340918828205734,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.04021540492317,0.6367513882017386,109.88509670681432,369.1793584309651,316.6018866623073,322.0597557040365
32,0,0,15630,0,14,1666,4009,1666,11467,1,11,1,0,False,True,False,False,10150,0,1,0,1,2,0,2,2,1180,37500,10478,8624,0,0,1,0,4604,1171,11312,0,0,267,90,141,9,4,14,4,4,200,33,0,42923,1003,0,13245,4217,32,158,31,3,0,818,818,648,1,6,4,0,88,12,8,40,True,2,0,0,3,1,0,0,0,0.7508931974721683,11,0.1369684069179014,1,1,0,1,0.0,5221.26708984375,0,0,51,0,0,0,0,0,1,820.2164827734719,2,5,2084.5431355157566,0.0,0.0,11,0,0,0.0,0,0,34.0,6,0,0,0,0.0,0,2,0,1,10,1,0.0,0,0,3.0,1,4.0,0,0.0,0,0,1,0,0,0,0,0,30,0,0,0,0,2,0,11,70,0,0,29,0,16,0,34,0,0,8,0,2,0.0790848097877712,0,1,0,0,2,6,0,1,0,0.0725195407867431,2.5383439884116026,11,4,1,1589.5927928524854,0.0,0.0,0.0,1288.4311874024002,0.0,17.954186876847643,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,107.79340382630404,0.7483654204229386,105.69222399203964,314.4861762900395,358.84121909279907,592.5039299771612
4,0,0,5431,0,5,741,827,741,2695,3,2,0,0,False,False,False,False,4300,0,0,0,0,2,0,0,1,497,10896,3743,1764,0,0,0,0,1541,761,4750,0,0,70,40,39,3,3,14,3,4,200,16,0,13158,238,0,2154,1466,10,81,57,2,0,720,720,166,0,0,3,0,19,2,2,11,False,0,0,0,0,0,0,0,1,0.3776464302560941,2,0.1120318190289901,3,2,0,0,0.0,1704.5484619140625,0,0,14,0,0,0,0,0,0,0.0,0,0,998.4565837,0.0,0.0,1,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,2,0,0,24,5,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,14,48,0,0,9,0,0,0,6,0,0,5,0,0,0.1562071165675116,0,0,0,0,3,0,0,0,0,0.0856386423110961,1.1778445921644838,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-26.260530931486308,-0.1802782443809128,39.7213065119278,281.8349887154938,314.0447017115502,401.47965023629297
11,0,0,7368,0,8,170,170,170,6330,2,8,0,0,False,False,False,False,4450,0,1,0,0,0,0,0,0,687,4612,1780,3222,0,0,0,0,1644,292,6158,0,0,99,52,56,2,2,3,3,4,200,22,0,6257,0,0,630,630,9,153,33,1,0,0,0,370,0,1,1,0,33,8,2,20,True,0,0,0,0,0,0,0,0,0.5941338982134914,8,0.1279502361877887,2,0,0,0,0.0,630.0,0,0,16,0,0,0,0,0,0,0.0,0,2,1340.6197448,0.0,1.0,1,0,0,0.0,0,0,5.5,2,0,0,0,0.0,0,0,0,0,11,5,0.0,0,0,2.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,38,0,0,12,0,0,0,11,0,0,3,0,1,0.0353671912296829,0,2,0,0,0,1,10,0,0,-0.2844064235687256,1.502603853710943,2,2,1,0.0,0.0,0.0,0.0,1246.6987941999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.857412657734265,0.3580433615585817,70.93734100879401,272.5157535662755,92.73323064367268,436.3653468995215
2,0,0,3328,0,4,0,109,0,5331,5,1,0,0,False,False,False,False,2600,0,0,2,0,1,0,0,1,281,3220,1220,938,0,0,0,0,2081,588,7582,0,0,57,23,19,2,2,14,2,4,200,15,0,5608,0,0,0,0,9,155,84,0,0,306,306,66,0,0,9,0,15,2,1,6,False,0,0,0,0,0,0,0,0,0.8943758334774651,1,0.1849323165582851,5,2,0,0,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,0,926.1986639990238,0.0,0.0,2,0,0,0.0,0,0,0.6,0,0,0,0,0.0,0,0,0,0,13,7,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,26,0,0,5,1,2,0,3,0,0,3,0,0,0.0766513780263949,0,0,0,0,0,0,0,0,0,-0.4399883151054382,0.9723766730955375,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-303.5633832444141,-0.4534664282353604,-152.10559621380375,222.13376891700727,137.01164224539818,556.2089646898293
