winrate,win
5.156335169030271,0.0
100.0,1.0
7.1775082110886996e-40,0.0
1.3819666194430773e-50,0.0
4.3569927737657024e-05,0.0
7.812459636807661e-26,0.0
4.769288759251762e-46,0.0
1.8160317528799504e-27,0.0
100.0,1.0
100.0,1.0
100.0,1.0
0.0002297458656348735,1.0
100.0,1.0
2.1600859777912358e-13,1.0
0.0023245354825036516,1.0
100.0,1.0
8.070154260118005e-29,0.0
2.4745087569351614e-43,0.0
100.0,1.0
99.99999999745137,1.0
100.0,1.0
100.0,1.0
100.0,1.0
1.883099367042868e-05,1.0
100.0,1.0
100.0,1.0
3.961450885505468e-27,0.0
100.0,1.0
100.0,1.0
100.0,1.0
9.675859251982166e-25,0.0
2.3093234247570735e-09,0.0
0.00022194053926037502,0.0
100.0,1.0
2.225894610275031e-24,0.0
100.0,0.0
6.442221568985052e-36,0.0
89.79675428599788,1.0
100.0,0.0
1.1878442827557166e-51,0.0
100.0,1.0
3.813220418212438e-17,0.0
