winrate,win
2.7588229978917836e-48,0.0
14.878408316503148,0.0
100.0,1.0
100.0,1.0
100.0,1.0
6.778096853958065e-14,0.0
2.209979266877475e-34,0.0
5.540654480703215e-18,0.0
8.397350315124384e-30,0.0
100.0,1.0
7.714502496710847e-134,0.0
99.99999997999743,1.0
100.0,1.0
2.0977237545453166e-38,0.0
4.3143796760824245e-30,0.0
100.0,1.0
3.440736562663468e-21,0.0
3.715806165483924e-33,0.0
1.2312483335639083e-19,0.0
100.0,0.0
100.0,0.0
100.0,1.0
100.0,1.0
100.0,1.0
2.680322669002294e-16,0.0
100.0,1.0
100.0,1.0
74.93230711623897,0.0
100.0,1.0
100.0,1.0
99.99999999982656,0.0
1.200247902948079e-37,0.0
3.8184884074777603,1.0
5.44963730055688e-19,0.0
1.5128526443716914e-13,0.0
99.44841947450058,0.0
3.67456542430383e-127,0.0
99.9999999999998,1.0
100.0,1.0
0.001110176030552721,1.0
20.06709013736821,0.0
