winrate,win
100.0,1.0
100.0,0.0
100.0,1.0
1.2971312126837324e-52,0.0
5.618108758846853e-134,0.0
7.072187526737469e-76,0.0
7.743485649534635e-118,0.0
100.0,1.0
2.682678926959824e-18,0.0
2.3741991164686516e-63,0.0
99.99999934799926,1.0
1.326786619322969e-196,0.0
5.0126191885858447e-200,0.0
100.0,1.0
8.679039187968605e-210,0.0
4.896069895668817e-59,0.0
100.0,1.0
100.0,1.0
1.6221149335592918e-181,0.0
100.0,1.0
3.7248154572431885e-153,0.0
9.652314028784251e-120,0.0
0.0,1.0
1.189264230944321e-140,0.0
5.306631075715345e-49,1.0
100.0,1.0
7.627298730463884e-74,0.0
6.869347576412893e-237,0.0
2.6840041185210065e-125,0.0
100.0,1.0
100.0,0.0
100.0,1.0
100.0,1.0
1.3391338486739505e-102,0.0
2.7417976525972412e-202,0.0
100.0,1.0
1.9666016971920763,1.0
1.8674109012602303e-97,0.0
1.0055759479670655e-90,0.0
100.0,1.0
6.173201643677449e-166,0.0
100.0,1.0
100.0,0.0
100.0,1.0
100.0,1.0
2.787343605113931e-96,0.0
100.0,1.0
100.0,1.0
2.079862882723202e-33,0.0
100.0,1.0
100.0,1.0
100.0,1.0
1.535279248294905e-11,1.0
1.0686289562136637e-170,0.0
8.456945126906197e-124,0.0
2.9507751199188114e-162,0.0
1.2696481595936804e-139,0.0
1.2341236811372199e-70,0.0
100.0,1.0
2.5313417610624187e-154,0.0
100.0,1.0
4.2973764886739325e-282,0.0
1.2278399057531945e-102,0.0
99.97135520080104,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
7.258724720194707e-105,0.0
100.0,0.0
100.0,1.0
100.0,1.0
7.072155384996956e-212,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
