winrate,win
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
3.12761146208612e-72,1.0
100.0,1.0
100.0,1.0
100.0,0.0
100.0,1.0
1.12541474638277e-68,0.0
5.990296236470931e-237,0.0
3.880215523895864e-194,0.0
1.1732974309288432e-21,1.0
100.0,0.0
1.1256123928818217e-44,0.0
5.980440222817171e-48,0.0
99.99999999999997,0.0
100.0,1.0
100.0,1.0
100.0,1.0
1.2270207254611848e-64,0.0
100.0,1.0
100.0,0.0
100.0,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
3.7313093029980537,0.0
100.0,1.0
100.0,1.0
2.976344393518807e-265,0.0
100.0,1.0
1.457111814286637e-109,0.0
1.7248952425618834e-172,1.0
1.890702730609785e-204,0.0
1.1656856340271806e-83,1.0
2.3571401029264066e-54,1.0
2.3697507864942833e-52,1.0
100.0,1.0
2.616547039840835e-130,0.0
100.0,1.0
100.0,1.0
0.013912154137929175,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
1.1343571109807217e-139,0.0
100.0,1.0
100.0,1.0
3.7265363233190414e-175,0.0
1.6644691856273e-14,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
3.428538404135581e-124,0.0
100.0,1.0
100.0,1.0
100.0,1.0
1.0923611168900369e-187,0.0
100.0,1.0
2.373089419415108e-49,1.0
100.0,1.0
100.0,0.0
7.763135751106202e-18,0.0
8.617078635235496e-105,0.0
100.0,1.0
6.035688928790258e-129,0.0
3.1745324094437e-177,0.0
2.3753124971749006e-58,0.0
100.0,1.0
100.0,1.0
100.0,1.0
8.961681150852781e-161,0.0
2.08763903099103e-304,0.0
