winrate,win
100.0,1.0
100.0,1.0
9.483895307239883e-28,0.0
100.0,1.0
100.0,1.0
2.0244058108114852e-97,0.0
5.411420303526251e-134,0.0
100.0,1.0
100.0,1.0
100.0,1.0
8.595692110121963e-09,1.0
1.7857693929897976e-37,1.0
1.2913907608599403e-135,0.0
6.645942928114559e-91,0.0
100.0,1.0
5.492804290824646e-59,0.0
1.9025198940809033e-96,0.0
100.0,1.0
100.0,1.0
1.4164935549849377e-180,0.0
100.0,1.0
8.443011182829661e-50,0.0
100.0,1.0
99.88375853845064,1.0
100.0,1.0
2.542439977686091e-58,0.0
100.0,1.0
2.3417729329063438e-181,0.0
5.960443965468516e-72,0.0
1.4010795227659516e-41,1.0
100.0,1.0
100.0,1.0
2.470681406816531e-149,0.0
99.99999999999993,1.0
100.0,1.0
9.00707602385819e-95,0.0
96.98479414979839,1.0
2.1191048408155122e-101,0.0
100.0,1.0
1.6878575142041975e-53,0.0
4.990186592014143e-86,0.0
100.0,0.0
100.0,0.0
100.0,1.0
100.0,1.0
100.0,1.0
4.6370814897129324e-111,0.0
2.3469143875272903e-79,1.0
100.0,1.0
100.0,1.0
100.0,1.0
99.99999999806151,1.0
100.0,1.0
9.94374755662307e-66,0.0
2.270709317829476e-60,0.0
1.0761360457897844e-18,1.0
2.8212680931478005e-124,1.0
100.0,0.0
5.19398597655002e-162,0.0
