winrate,win
2.1670900069894373e-29,0.0
100.0,1.0
4.255537104208057e-39,0.0
100.0,1.0
5.528651425529232e-46,0.0
5.733041221642626e-17,1.0
1.0166950852138347e-07,1.0
0.0028687901614345836,0.0
3.428091455896084e-86,0.0
2.3549620721045428e-15,1.0
100.0,1.0
1.267415085749223e-27,1.0
99.99999999533146,0.0
9.762100864034779e-23,0.0
99.99999999999991,1.0
99.99999999672863,0.0
7.93452482403923e-92,0.0
100.0,1.0
100.0,1.0
3.749649408450927e-25,1.0
100.0,0.0
1.8218148266128176e-05,0.0
6.701141558291578e-93,0.0
6.618581285337198e-34,1.0
100.0,1.0
6.7021372353265294e-15,0.0
99.9998110486666,1.0
