winrate,win
3.6651610777597024e-34,0.0
3.0024298372124322e-52,0.0
100.0,1.0
6.479334426654831e-20,1.0
9.40357774461517e-127,0.0
82.11411786835465,0.0
100.0,1.0
4.5877595780300133e-23,0.0
2.9261896453456913e-12,0.0
100.0,1.0
3.3417905321510615e-13,1.0
3.123959992721574e-126,0.0
100.0,1.0
8.296069987656113e-139,0.0
5.768422083124022e-24,0.0
100.0,1.0
100.0,1.0
9.621468208438334e-31,0.0
16.818871022831893,0.0
2.077398803368795e-05,0.0
8.280890736166233e-96,0.0
100.0,1.0
100.0,0.0
1.1890741961634396e-89,1.0
1.3023778914636553e-156,0.0
4.8162256466001244e-64,0.0
99.49835588662009,1.0
100.0,1.0
1.0809055988841781e-98,0.0
100.0,1.0
100.0,1.0
1.2081974103115072e-174,0.0
2.946155847368461e-42,1.0
1.7254207991652984e-21,1.0
100.0,1.0
1.5408026866098717e-73,1.0
0.1721647104769378,1.0
99.99999991101053,0.0
99.99999716078133,1.0
6.30121825692228e-55,0.0
1.5241061349492272e-153,0.0
1.5881808397748864e-175,0.0
100.0,1.0
3.4884430609544306e-101,0.0
8.172843394625455e-87,0.0
4.448067217873321e-62,0.0
2.2195633684318645e-96,0.0
2.7462685425320812e-77,0.0
2.378036787111282e-159,0.0
100.0,0.0
100.0,1.0
1.0673300857862984e-13,0.0
100.0,1.0
