winrate,win
5.1514588138998446e-118,0.0
1.2575562374474897e-169,1.0
100.0,1.0
2.2721892303317636e-86,0.0
3.649261622962892e-201,0.0
100.0,1.0
100.0,0.0
8.555844142661945e-60,0.0
5.646735003511093e-71,0.0
1.3030342115294575e-160,0.0
4.3440742545229855e-26,1.0
4.880086621139377e-70,0.0
100.0,0.0
1.098375560749356e-24,0.0
4.0916081338449073e-50,0.0
1.0047384218279058e-29,0.0
100.0,1.0
6.81971883896524e-68,0.0
7.797195670307627e-11,1.0
100.0,1.0
99.9803437693213,1.0
100.0,1.0
1.563573461793483e-13,0.0
5.994160933567714e-37,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
1.4513036855539581e-120,0.0
2.816390769585636e-71,0.0
100.0,1.0
2.068682156931655e-62,0.0
100.0,1.0
100.0,1.0
1.4537300112671393e-21,0.0
