winrate,win
100.0,1.0
2.672157611763742e-12,1.0
100.0,1.0
100.0,1.0
100.0,1.0
3.964556453486492e-12,0.0
9.10630851064662e-17,0.0
100.0,1.0
2.2513849203409292e-66,0.0
2.5157946855330304e-82,0.0
100.0,1.0
1.0251998712738072e-85,0.0
3.8906893761117485e-11,0.0
1.1182383491246787e-22,0.0
100.0,1.0
100.0,1.0
6.435275624371856e-41,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,0.0
100.0,1.0
5.922794184148106e-81,0.0
100.0,1.0
1.0435649444456052e-104,0.0
100.0,1.0
5.054274791595556e-155,1.0
99.99999999998262,1.0
100.0,1.0
6.142718425658626e-40,0.0
0.012134680862211708,1.0
100.0,1.0
100.0,1.0
1.2785423849965966e-38,0.0
1.884004397140217e-58,0.0
