winrate,win
100.0,0.0
100.0,1.0
99.27104514511369,1.0
100.0,1.0
2.25695892645397e-52,0.0
9.482192874904692e-77,0.0
100.0,1.0
6.707347902695511e-114,0.0
2.924547218011647e-78,0.0
100.0,1.0
6.749103546328668e-86,0.0
100.0,1.0
100.0,1.0
1.7013888939528642e-57,0.0
100.0,1.0
6.067818462090745e-72,0.0
100.0,1.0
3.2263792435687635e-112,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
9.611833654999682e-138,0.0
5.954016571184375e-45,0.0
99.99999999948297,0.0
100.0,1.0
1.135994437906701e-69,0.0
6.542813509644169e-53,0.0
2.249619814303713e-151,0.0
100.0,1.0
1.8930676570343042e-23,0.0
3.7129101929005203e-20,0.0
100.0,1.0
1.121807619073732e-23,0.0
6.185336423691927e-35,0.0
3.9886134040972986e-16,0.0
100.0,1.0
100.0,1.0
1.1828385379136615e-105,0.0
9.383995029781627e-62,0.0
1.4551000464573478e-19,0.0
2.4233386281019416e-67,0.0
100.0,1.0
99.99078141178737,0.0
100.0,1.0
100.0,1.0
1.526873275416271e-29,0.0
8.751957056917706e-16,0.0
100.0,0.0
1.501395107274429e-116,0.0
7.285735127377968e-98,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
6.473204829245862e-30,0.0
100.0,1.0
100.0,1.0
1.2612218246207253e-104,0.0
5.608000400242931e-71,0.0
100.0,1.0
100.0,1.0
6.701463273255074e-08,0.0
100.0,1.0
100.0,1.0
99.99066550652033,0.0
3.4128372261818865e-50,0.0
2.5220650956108904e-33,0.0
1.230205072468321e-164,0.0
100.0,1.0
1.0983458888715949e-103,0.0
6.5305157523091195e-21,0.0
100.0,1.0
7.267572382168845e-74,0.0
100.0,1.0
100.0,1.0
4.311090778790773e-10,0.0
