winrate,win
9.880149686363471e-133,0.0
2.1147847293937502e-70,0.0
100.0,1.0
100.0,1.0
1.184413858938652e-29,1.0
9.028355968533172e-268,0.0
3.097406500843735e-215,0.0
1.3798514048013536e-150,1.0
0.0,0.0
100.0,1.0
100.0,1.0
5.911947961951301e-19,1.0
8.038212404504969e-160,0.0
1.2997057919910345e-178,1.0
100.0,1.0
1.6191150707367167e-108,0.0
100.0,1.0
100.0,1.0
5.045819992932228e-118,0.0
100.0,1.0
100.0,1.0
5.645299227651646e-13,1.0
0.0,0.0
100.0,1.0
100.0,0.0
100.0,1.0
100.0,1.0
100.0,1.0
3.978533294440627e-170,0.0
100.0,1.0
100.0,1.0
2.1600269707458967e-289,0.0
2.870604882778896e-104,0.0
100.0,1.0
3.829696979925013e-68,0.0
100.0,1.0
2.701082540345991e-186,0.0
100.0,1.0
100.0,1.0
3.7299996469032156e-93,0.0
100.0,1.0
2.947928860521541e-23,1.0
4.989174601823831e-236,1.0
1.096898384984844e-151,0.0
2.0910443402586947e-111,0.0
