winrate,win
6.962964011873404e-81,1.0
100.0,1.0
1.2531229237136694e-198,0.0
7.091230093112897e-211,0.0
100.0,1.0
100.0,1.0
1.4251019936737522e-89,0.0
100.0,0.0
9.338636689701997e-47,1.0
100.0,1.0
100.0,0.0
1.2632968058293032e-227,0.0
7.900782333734647e-77,0.0
7.649043828540528e-122,1.0
100.0,1.0
100.0,0.0
3.8037147788339365e-109,0.0
0.0,0.0
1.406981085845473e-63,1.0
100.0,0.0
100.0,1.0
100.0,1.0
1.4543028461183316e-66,1.0
7.146804789043131e-116,0.0
100.0,1.0
8.60680386521933e-102,0.0
100.0,0.0
8.069478812375371e-250,0.0
5.518252099109449e-45,0.0
0.0021329502092045922,0.0
5.585403595821751e-121,1.0
5.217991293346287e-10,0.0
0.0,0.0
2.7826785273469272e-155,0.0
100.0,1.0
