winrate,win
3.098800820618078e-53,0.0
100.0,1.0
100.0,1.0
7.032804049728402e-33,0.0
100.0,1.0
100.0,1.0
100.0,1.0
1.5054737933446018e-29,0.0
1.3171307659863865e-59,0.0
9.994876418773744e-47,0.0
3.9071737155684004e-28,0.0
99.9999999999882,1.0
3.503223507288594e-28,0.0
5.689113376454132e-06,0.0
100.0,1.0
9.414246882174572e-23,0.0
100.0,1.0
100.0,1.0
7.001125845080246e-16,0.0
100.0,1.0
100.0,1.0
100.0,1.0
3.0050977042116455e-22,0.0
100.0,1.0
2.4400513746704373e-06,0.0
100.0,1.0
100.0,1.0
2.878030997104929e-39,0.0
2.12536314911979e-24,0.0
99.99998308191734,1.0
6.233055724467244e-39,0.0
1.4252532255296696e-107,0.0
7.862938837272176e-27,0.0
1.8733814417462498e-34,0.0
100.0,1.0
100.0,0.0
99.99999985134981,1.0
100.0,1.0
9.377723144769662e-71,0.0
1.2833831714436657e-41,0.0
4.81145321560116e-26,1.0
100.0,1.0
1.1379430421647045e-67,0.0
99.99999999958065,1.0
7.000376968042641e-57,0.0
100.0,1.0
6.057435701300977e-14,0.0
100.0,1.0
100.0,1.0
100.0,1.0
1.8518678068719974e-50,0.0
1.7546270684776464e-34,0.0
100.0,1.0
100.0,1.0
2.776930429905974e-29,0.0
100.0,1.0
4.216717456120924e-29,0.0
4.962380041847984e-38,0.0
99.84414666925099,1.0
6.3120605041735375e-06,0.0
2.6078992648863912e-20,0.0
6.157959890313197e-17,1.0
100.0,1.0
2.095539058297426e-05,0.0
89.0183284948318,0.0
2.3865071940410515e-32,0.0
83.34506088206633,0.0
2.2343454221588107e-18,0.0
100.0,1.0
9.86862856314042e-31,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
7.713611286413926e-12,0.0
1.5017532327993954e-21,0.0
2.096905099381982e-39,0.0
4.347758017841992e-17,0.0
99.9999999989531,1.0
8.301895583333053e-05,0.0
4.1911268849715136e-18,0.0
7.21135241667186e-38,0.0
100.0,1.0
8.235922385876321e-25,0.0
100.0,1.0
2.6544332079663547e-26,0.0
100.0,1.0
8.222133604430368e-46,0.0
100.0,1.0
3.0282242077132937e-90,0.0
1.1205821162392237e-30,0.0
100.0,1.0
24.793519847216555,0.0
100.0,1.0
5.365164593152444e-21,1.0
3.7128824598355096e-38,0.0
2.3922104394627117e-32,0.0
9.578366092711217e-52,0.0
99.9999970216923,1.0
9.806259886253357e-14,0.0
100.0,1.0
2.07296843640784e-67,0.0
99.99999998384837,0.0
100.0,1.0
